address,sk,verdict,units,demote_reason,reason
1904 SACRAMENTO,B2019-00961,ACCEPT,1.0,,'convert one of the garages to new ADU'
2425 OREGON,B2018-01833,ACCEPT,1.0,,'Convert 291 SqFt garage into a new Accessory Dwelling Unit'
2543 PIEDMONT,B2020-02125,ACCEPT,1.0,,'Build an new 384 sq. ft. ADU'
3021 DANA,B2019-02673,ACCEPT,1.0,,'Conversion of the medical office... into residential unit'
3046 TELEGRAPH,B2016-05172,ACCEPT,1.0,,'Construct a new ground floor unit (Unit #2)' — rank-2 is the creator
3130 LEWISTON,B2020-02258,ACCEPT,1.0,,'Convert 260sf of garage to ADU'
483 BOYNTON,B2023-04099,ACCEPT,1.0,,'Convert basement into JADU-495 sq. ft. studio'
655 SAN LUIS,,no_valid_candidate,,,revision only removes chimney/driveway/garage scope — nothing unit-creating
828 CHANNING,B2020-03543,ACCEPT,1.0,,'Convert existing 210sf structure to ADU'
844 MIRAMAR,B2023-05727,ACCEPT,1.0,,'New JADU addition at rear of (E) building'
926 CHANNING,B2018-03653,ACCEPT,1.0,,'Conversion of 845 SF commercial space into residential'
3011 COLLEGE,B2016-00729,ACCEPT,1.0,,'Convert garage to Single (1) Car garage & Accessory Dwelling Unit'
2449 VIRGINIA,B2017-01244,UNCERTAIN,,,"truncated 'New 97...' — extensions/plumbing text, creation unclear"
2524 DWIGHT,,no_valid_candidate,,,no candidate permits at address
2630 CALIFORNIA,B2017-01609,ACCEPT,1.0,,'Convert (E) detached garage to accessory dwelling unit'
2704 SHASTA,B2017-03522,ACCEPT,1.0,,"'(N) 3-story house, wood framed on vacant lot'"
2801 ASHBY,B2016-05928,ACCEPT,1.0,,'Convert and enlarge existing garage into new 517 sq ft ADU'
2819 BENVENUE,B2021-01192,ACCEPT,1.0,,'Convert portion of basement into ADU'
2921 OTIS,B2019-02062,ACCEPT,1.0,,'convert (E) basement area to new 1 Bedroom dwelling unit'
961 THE ALAMEDA,B2021-00688,UNCERTAIN,,,'New residential accessory structure' — no dwelling/kitchen language
1234 BURNETT,B2018-02318,ACCEPT,1.0,,'Construction of new ADU'
1302 CHANNING,B2017-01506,ACCEPT,1.0,,"'convert existing garage to habitable space, new kitchen, bathroom'"
1316 CARLETON,B2016-03592,ACCEPT,1.0,,'Convert existing detached garage to a 665 sq. ft. Accessory Dwelling Unit'
1030 GRAYSON,,no_valid_candidate,,,no candidate permits at address
1342 HASKELL,B2016-01067,ACCEPT,1.0,,"'(N) one bedroom, one bathroom, accessory dwelling unit'"
1027 HEINZ,B2022-02577,ACCEPT,1.0,,rank-2 'New three story single family house' (rank-1 is solar ON it)
1407 CYPRESS,B2018-03533,ACCEPT,1.0,,'New construction of detached ADU 380sq ft'
1234 ALLSTON,B2016-03935,ACCEPT,1.0,,'Convert a 336 sq. ft. garage to an Accessory Dwelling Unit'
1222 SIXTY 6TH,B2017-02788,ACCEPT,1.0,,'Construct new 1794 SF home in front of property'
1071 PAGE,B2020-03820,ACCEPT,1.0,,'Legalize ADU' — legalization of existing dwelling unit
1112 FRESNO,B2020-02014,ACCEPT,1.0,,'convert existing garage to Accessory Dwelling Unit (ADU)'
1121 DELAWARE,B2017-03440,ACCEPT,1.0,,'New ADU'
1157 AMADOR,B2017-01688,ACCEPT,1.0,,'legalize garage conversion into ADU'
1204 BLAKE,B2017-04626,ACCEPT,1.0,,'Convert 400sf garage into a ADU'
1208 PERALTA,B2021-00369,ACCEPT,1.0,,'Install 663 sq ft manufactured home as an accessory dwelling unit'
1222 EVELYN,B2019-04580,ACCEPT,1.0,,'creating a Junior ADU' at lower level
1517 HOLLY,B2016-02850,ACCEPT,1.0,,'Addition of in-law unit (448 sqft)'
0 QUEENS,B2017-03352,ACCEPT,1.0,,'(N) 3-story residential home 3800sqft'
151 TUNNEL,,no_valid_candidate,,,Title 24 revision + empty-description revision — nothing unit-creating
1606 CHESTNUT,B2019-04441,ACCEPT,1.0,,'Garage conversion to ADU'
1518 HAWTHORNE TER,,no_valid_candidate,,,no candidate permits at address
1538 ACTON,B2017-04815,ACCEPT,1.0,,'Convert existing 400 SqFt garage to in-law unit'
1535 JUANITA,B2020-04509,ACCEPT,1.0,,'Convert 253 SqFt attached garage to Junior Accessory Dwelling Unit'
1612 BUENA,B2019-02435,ACCEPT,1.0,,'Convert existing Garage into ADU'
1631 CHANNING,B2020-04513,ACCEPT,1.0,,'convert into a conversion JADU and residence. Create a new kitchen'
1440 PARKER,B2018-00101,ACCEPT,1.0,,'Covert 580 SqFt garage to accessory dwelling unit'
2815 CHANNING,B2018-02623,ACCEPT,3.0,,
2718 DURANT,B2021-01148,ACCEPT,1.0,,
1173 HEARST,,no_valid_candidate,,,
1828 EUCLID,B2021-03440,ACCEPT,2.0,,
3353 M L KING JR,B2017-02082,ACCEPT,2.0,,
1811 SIXTY 3RD,,no_valid_candidate,,,
908 CEDAR,B2017-02402,ACCEPT,1.0,,
2115 ROOSEVELT,B2016-05191,ACCEPT,1.0,,
2075 EUNICE,B2017-02712,ACCEPT,1.0,,
2325 6TH,B2020-01409,ACCEPT,1.0,,
2145 GRANT,B2019-01597,ACCEPT,1.0,,
2220 MCGEE,B2020-03174,ACCEPT,1.0,,
1943 HASTE,B2019-04085,ACCEPT,1.0,,
1655 10TH,B2022-05902,ACCEPT,1.0,,
1729 VIRGINIA,B2017-01113,ACCEPT,1.0,,
1813 PARKER,B2021-00818,ACCEPT,1.0,,
1835 MONTEREY,B2017-01124,ACCEPT,1.0,,
1884 THOUSAND OAKS,B2019-01573,ACCEPT,1.0,,
1912 MONTEREY,B2017-02331,ACCEPT,1.0,,
2000 UNIVERSITY,B2021-05812,UNCERTAIN,,,
2432 OREGON,B2021-04655,ACCEPT,1.0,,
3038 BENVENUE,B2021-03009,ACCEPT,1.0,,
3108 DEAKIN,B2019-05540,ACCEPT,1.0,,
3139 ETON,B2019-05267,ACCEPT,1.0,,
6450 MYSTIC,B2021-01404,ACCEPT,1.0,,
770 PAGE,,no_valid_candidate,,,
840 DELAWARE,B2020-01218,ACCEPT,1.0,,
85 HAZEL,,no_valid_candidate,,,
3020 HARPER,B2021-00448,ACCEPT,1.0,,
30 ALAMO,B2023-01505,ACCEPT,1.0,,
2501 MABEL,B2022-04896,ACCEPT,1.0,,
1639 JULIA,B2021-00470,UNCERTAIN,,,
2633 ETNA,B2019-02700,ACCEPT,1.0,,
2707 HILLEGASS,B2018-00483,ACCEPT,1.0,,
2801 COLLEGE,B2020-01591,ACCEPT,2.0,,
2823 CHERRY,B2020-00547,ACCEPT,1.0,,
2954 RUSSELL,B2016-02666,ACCEPT,1.0,,
1635 WOOLSEY,B2021-02985,ACCEPT,1.0,,
1275 HEARST,B2020-00441,ACCEPT,1.0,,
131 AVENIDA,B2022-03366,ACCEPT,1.0,,
1316 MILVIA,B2019-03350,ACCEPT,1.0,,
1340 PERALTA,B2018-01207,ACCEPT,1.0,,
1350 CARLOTTA,B2017-00340,ACCEPT,1.0,,
1404 BLAKE,B2022-03080,ACCEPT,1.0,,
1407 KAINS,B2020-02776,ACCEPT,1.0,,
1224 STANNAGE,B2017-04713,ACCEPT,1.0,,
1044 PAGE,B2021-04809,ACCEPT,1.0,,
1039 MARIPOSA,B2019-05173,ACCEPT,1.0,,
1118 CARLETON,,no_valid_candidate,,,
1128 PARKER,B2021-01591,ACCEPT,1.0,,
1169 CRAGMONT,B2016-03666,ACCEPT,1.0,,
1205 KAINS,,no_valid_candidate,,,
1211 TALBOT,B2018-01061,ACCEPT,1.0,,
1412 M L KING JR,B2018-00964,ACCEPT,1.0,,
1449 5TH,B2016-05671,ACCEPT,1.0,,
1505 ARCH,B2017-01520,ACCEPT,1.0,,
1510 SPRUCE,B2018-00955,ACCEPT,1.0,,
1601 LINCOLN,B2020-03794,ACCEPT,1.0,,
1547 POSEN,B2017-03938,ACCEPT,1.0,,
1527 PARKER,B2016-03120,ACCEPT,1.0,,
1623 RUSSELL,B2020-03294,ACCEPT,1.0,,
1619 CORNELL,B2009-02862,ACCEPT,1.0,,
1632 STUART,B2020-00314,ACCEPT,1.0,,
1624 POSEN,B2017-00207,ACCEPT,1.0,,
