apn,recordid,busdesc,b1_per_sub_type,dba,naics,tax_code,employee_num,bus_own_type,b1_business_name,b1_address1,b1_city,b1_state,b1_zip,b1_contact_type,b1_full_address,b1_situs_city,b1_situs_state,b1_situs_zip
058 216801000,BL-000077,RENTAL PROPERTY 3-UNITS,Rental of Real Property,"KAIPA, SUMANA/DREHER, ERIK",531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,"KAIPA, SUMANA/DREHER, ERIK",1827 DELAWARE ST,BERKELEY,CA,94703-1328,Business Owner,1827 DELAWARE St,BERKELEY,CA,94703
ZZZZZZZZZZZZZ,BL-000079,FURNISH & INSTALL FLOOR COVERINGS,Construction or Contractor,INTERIOR DESIGN SERVICES INC,238330 - Flooring Contractors,C,24,Corporation,INTERIOR DESIGN SERVICES INC,122 S LINDEN AVE,S SAN FRAN,CA,94080-6409,Business Owner,0 VARIOUS,BERKELEY,CA,94704
053 159801401,BL-000090,MULTI RESIDENTIAL,Rental of Real Property,DAVID ARNOLD FAMILY 1989 RECOVABLE TRUST,531110 - Lessors of Residential Buildings and Dwellings,L,2,Sole Ownership,DAVID ARNOLD FAMILY 1989 RECOVABLE TRUST,2991 SHATTUCK AVE STE 304C,BERKELEY,CA,94703-1455,Business Owner,2930 ADELINE St,BERKELEY,CA,94703
054 174602400,BL-000093,AIR QUALITY ENGINEERING,Administrative Headquarters,AEROSOL DYNAMICS INC,541710,Q,7,Corporation,AEROSOL DYNAMICS INC,935 GRAYSON ST,BERKELEY,CA,947102640,Business Owner,935 GRAYSON ST,BERKELEY,CA,94710
ZZZZZZZZZZZZZ,BL-000106,BOTTLED WATER DELIVERY,Retail Trade,DS SERVICES OF AMERICA INC,454390 - Other Direct Selling Establishments,R,4,Corporation,DS SERVICES OF AMERICA INC,251 LITTLE FALLS DR,WILMINGTON,DE,19808,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-000113,OFFICE EQUIPMENT,Wholesale Trade,AA OFFICE EQUIPMENT CO,423420 - Office Equipment Merchant Wholesalers,W,2,Corporation,AA OFFICE EQUIPMENT CO,900 DOOLITTLE DR STE 2B,SAN LEANDRO,CA,945771029,Business Owner,0 VARIOUS,BERKELEY,CA,94704
060 239501600,BL-000118,AUTO TIRES/ACCESSORIES,Retail Trade,AUTO OPTIONS,441310 - Automotive Parts and Accessories Stores,R,2,Corporation,AUTO OPTIONS,1445 SAN PABLO AVE,BERKELEY,CA,94702-1045,Business Owner,1445 SAN PABLO AVE,BERKELEY,CA,94702
058 217102700,BL-000130,RENTAL PROPERTY/3 UNITS,Rental of Real Property,FESSEHA ARAYA/LULA,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,FESSEHA ARAYA/LULA,1627 M L KING JR WAY,BERKELEY,CA,94709,Business Owner,1625 M L KING JR WAY,BERKELEY,CA,94709
052 157307200,BL-000143,DENTISTRY - PRACTICE,Professional SemiProfessional,S. HOKMABADI DDS INC,621210 - Offices of Dentists,P,6,Corporation,S. HOKMABADI DDS INC,3017 TELEGRAPH AVE STE 300,BERKELEY,CA,94705,Business Owner,3017 TELEGRAPH Ave,BERKELEY,CA,94705
056 201100300,BL-000144,RENTAL PROPERTY,Rental of Real Property,YAO J LIANG & BAI Q DENG,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0,Sole Ownership,YAO J LIANG & BAI Q DENG,2288 NORIEGA ST,SAN FRANCISCO,CA,94122-4238,Business Owner,2012 GRANT St,BERKELEY,CA,94703
057 206102200,BL-000145,RES. RENTAL - 6 UNITS,Rental of Real Property,SIU B YUEN,531110 - Lessors of Residential Buildings and Dwellings,L,0,Partnership,SIU B YUEN,1633 BAYSHORE HWY STE 249,BURLINGAME,CA,94010-1588,Business Owner,1728 BERKELEY Way,BERKELEY,CA,94703
057 205300700,BL-000152,RESTAURANT,Retail Trade,NASH CAFE,722513 - Limited-Service Restaurants,R,2,Sole Ownership,NASH CAFE,2047 UNIVERSITY AVE,BERKELEY,CA,94704-1005,Business Owner,2047 UNIVERSITY Ave,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-000161,GENERAL CONTRACTOR,Construction or Contractor,ANDES CONSTRUCTION INC,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,27,Corporation,ANDES CONSTRUCTION INC,5305 E 12TH ST,OAKLAND,CA,94601,Business Owner,0 VARIOUS,BERKELEY,CA,94704
055 186500601,BL-000164,FRATERNITY,Non Profit Organizations,ALPHA DELTA PHI,721310 - Rooming and Boarding Houses,N,1,Corporation,ALPHA DELTA PHI,3871 PIEDMONT AVE,OAKLAND,CA,94611,Business Owner,2422 PROSPECT ST,BERKELEY,CA,94704
055 186300100,BL-000169,SORORITY,Non Profit Organizations,ALPHA PHI,721310 - Rooming and Boarding Houses,N,6,Corporation,ALPHA PHI,PO BOX 3117,TUSCALOOSA,AL,35403,Business Owner,2830 BANCROFT WAY,BERKELEY,CA,94704
055 186300301,BL-000171,PROPERTY RENTAL,Non Profit Organizations,ALPHA CHI OMEGA,812320 - Drycleaning and Laundry Services (except Coin-Operated),N,0,Corporation,ALPHA CHI OMEGA,5635 CASTLE CREEK PARKWAY NORTH DR,INDIANAPOLIS,IN,46250,Business Owner,2313 WARRING ST,BERKELEY,CA,94704
059 226700500,BL-000175,RES. RENTAL - 8 UNITS,Rental of Real Property,DAVIS JONATHAN,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,DAVIS JONATHAN,1301 S 46TH ST,RICHMOND,CA,948044600,Business Owner,1540 MILVIA St,BERKELEY,CA,94709
059 233100200,BL-000185,RENTAL PROPERTY,Rental of Real Property,THE DITCH LLC,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0,LLC,THE DITCH LLC,1440 SAN PABLO AVE,BERKELEY,CA,947021024,Business Owner,1440 SAN PABLO Ave,BERKELEY,CA,94702
054 171400700,BL-000221,CHIROPRACTIC PRACTICE,Professional SemiProfessional,FLOW CHIROPRACTIC & FAMILY WELLNESS CENTER,621310 - Offices of Chiropractors,P,0,Sole Ownership,FLOW CHIROPRACTIC & FAMILY WELLNESS CENTER,120 FAIRLAWN DR,BERKELEY,CA,947082108,Business Owner,2718 TELEGRAPH Ave,BERKELEY,CA,94705
059 233100200,BL-000225,FURNITURE,Retail Trade,FENTON MACLAREN LTD,442110 - Furniture Stores,R,6,Corporation,FENTON MACLAREN LTD,1442 SAN PABLO AVE,BERKELEY,CA,947021046,Business Owner,1440 SAN PABLO Ave,BERKELEY,CA,94702
057 203400600,BL-000226,COMPUTER CONSULTING,Business Personal Repair Svs,A E WOOD & ASSOCIATES LLC,541511 - Custom Computer Programming Services,B,4,Sole Ownership,A E WOOD & ASSOCIATES LLC,1922 HOPKINS ST,BERKELEY,CA,947072604,Business Owner,2039 SHATTUCK AVE,BERKELEY,CA,94704
055 187502900,BL-000229,RECORD & CD RETAIL SALES,Retail Trade,AMOEBA MUSIC,453310 - Used Merchandise Stores,R,25,Corporation,AMOEBA MUSIC,2455 TELEGRAPH AVE,BERKELEY,CA,947042323,Business Owner,2455 TELEGRAPH AVE,BERKELEY,CA,94704
052 157200600,BL-000233,RENTAL PROPERTY,Rental of Real Property,2918 FLORENCE STREET APARTMENTS,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,2918 FLORENCE STREET APARTMENTS,3306 SPRINGHILL RD,LAFAYETTE,CA,945492520,Business Owner,2918 FLORENCE St,BERKELEY,CA,94705
061 261803400,BL-000235,PIANO TUNING & REPAIRS,Business Personal Repair Svs,ALLEGRO PIANO SERVICE,811490 - Other Personal and Household Goods Repair and Maintenance,B,1,Sole Ownership,ALLEGRO PIANO SERVICE,959 Tulare Ave,Berkeley,CA,94707,Business Owner,959 TULARE AVE,BERKELEY,CA,94707
ZZZZZZZZZZZZZ,BL-000242,PEST CONTROL,Business Personal Repair Svs,AANTEX PEST CONTROL CO,561710 - Exterminating and Pest Control Services,B,4,Corporation,AANTEX PEST CONTROL CO,420 BEATRICE CT,BRENTWOOD,CA,94513 736,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-000243,HEATING CONTR,Construction or Contractor,ACCO ENGINEERED SYSTEMS INC,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,104,,ACCO ENGINEERED SYSTEMS INC,888 E WALNUT ST,PASADENA,CA,91101-1895,Business Owner,0 VARIOUS,BERKELEY,CA,94704
059 233701200,BL-000244,FINANCIAL PLANNING,Professional SemiProfessional,AFFINITY CAPITAL ADVISORS LLC,523930 - Investment Advice,P,7,LLC,AFFINITY CAPITAL ADVISORS LLC,825 PAGE ST,BERKELEY,CA,947101461,Business Owner,825 PAGE St,BERKELEY,CA,94710
057 202401801,BL-000245,LAW PRACTICE,Professional SemiProfessional,JACOBSON EDUCATION LAW,541110 - Offices of Lawyers,P,1,Corporation,JACOBSON EDUCATION LAW,1919 ADDISON ST STE 104,BERKELEY,CA,94704-1161,Business Owner,1919 ADDISON St,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-000253,HEATING & AC CONTRACTOR,Construction or Contractor,ATLAS HEATING & AIR CONDITION CO.,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,20,Corporation,ATLAS HEATING & AIR CONDITION CO.,PO BOX 8467,OAKLAND,CA,94662-0467,Business Owner,0 VARIOUS,BERKELEY,CA,94704
055 187801700,BL-000258,RENTAL PROPERTY,Rental of Real Property,VALHAUS LP,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,VALHAUS LP,1060 BLOOMFIELD RD,SEBASTOPOL,CA,95472-5504,Business Owner,2430 BANCROFT Way,BERKELEY,CA,94704
054 180501600,BL-000260,RES. RENTAL - 5 UNITS,Rental of Real Property,EMC MANAGEMENT LLC,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,EMC MANAGEMENT LLC,2105 MARTIN LUTHER KING JR WAY FL 2,BERKELEY,CA,94704-1108,Business Owner,1615 PARKER St,BERKELEY,CA,94703
057 210200401,BL-000262,COMMERCIAL RENTAL,Rental of Real Property,ABRAMS D/MILLIKAN R/KE,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,3,Partnership,ABRAMS D/MILLIKAN R/KE,1834 FOURTH ST,BERKELEY,CA,94710,Business Owner,1800 FOURTH ST,BERKELEY,CA,94710
057 207500600,BL-000275,RENTAL PROPERTY,Rental of Real Property,WONG JUNE,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,WONG JUNE,1433 BERKELEY WAY APT A,BERKELEY,CA,947021545,Business Owner,1433 BERKELEY Way,BERKELEY,CA,94702
055 184000500,BL-000276,RES. RENTAL - 18 UNITS,Rental of Real Property,2610 REGENT STREET LLC,531110 - Lessors of Residential Buildings and Dwellings,L,2,LLC,2610 REGENT STREET LLC,2855 TELEGRAPH AVE STE 310,BERKELEY,CA,94705-1129,Business Owner,2610 REGENT St,BERKELEY,CA,94704
060 243402600,BL-000278,BAKERY,Retail Trade,HOPKINS BAKERY INC,445291 - Baked Goods Stores,R,8,Corporation,HOPKINS BAKERY INC,1584 HOPKINS ST,BERKELEY,CA,947072732,Business Owner,1584 HOPKINS St,BERKELEY,CA,94707
ZZZZZZZZZZZZZ,BL-000295,ACUPUNCTURE PRACTICE,Professional SemiProfessional,JEAN LUSSON ACUPUNCTURE,621399 - Offices of All Other Miscellaneous Health Practitioners,P,0,Sole Ownership,JEAN LUSSON ACUPUNCTURE,1638 CURTIS ST,BERKELEY,CA,94702-1329,Business Owner,0 VARIOUS,BERKELEY,CA,94704
057 211500700,BL-000303,OPTOMETRY OFFICE,Professional SemiProfessional,LUNETTES DU MONDE OPTOMETRY,621320 - Offices of Optometrists,P,3,Corporation,LUNETTES DU MONDE OPTOMETRY,1799 4TH ST STE E,BERKELEY,CA,947101741,Business Owner,1799 Fourth St,BERKELEY,CA,94710
055 186800100,BL-000307,SORORITY,Non Profit Organizations,ALPHA DELTA PI,721310 - Rooming and Boarding Houses,N,2,Partnership,ALPHA DELTA PI,2300 CONTRA COSTA BLVD STE 220,PLEASANT HILL,CA,94523-3966,Business Owner,2400 PIEDMONT AVE,BERKELEY,CA,94704
059 226002003,BL-000310,COMMERCIAL RENTAL,Rental of Real Property,APTE ROBERT Z,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,4,Partnership,APTE ROBERT Z,1647 HOPKINS ST,BERKELEY,CA,94707,Business Owner,1519 SHATTUCK AVE,BERKELEY,CA,94709
052 157802101,BL-000320,URGENT CARE SERVICES,Professional SemiProfessional,CARBON HEALTH,621111 - Offices of Physicians (except Mental Health Specialists),P,8,Corporation,CARBON HEALTH,2100 FRANKLIN ST STE 355,OAKLAND,CA,94612,Business Owner,2920 TELEGRAPH Ave,BERKELEY,CA,94705
ZZZZZZZZZZZZZ,BL-000324,ELEVATOR SERVICE,Construction or Contractor,APPLE ELEVATOR CO,238290 - Other Building Equipment Contractors,C,8,Corporation,APPLE ELEVATOR CO,2325 WEST ST,OAKLAND,CA,94612-1045,Business Owner,0 VARIOUS,BERKELEY,CA,94704
055 189201301,BL-000325,DATA/SOFTWARE DEVELOPMENT,Professional SemiProfessional,KATRISK LLC,541512 - Computer Systems Design Services,P,2,LLC,KATRISK LLC,2397 SHATTUCK AVE # 212,BERKELEY,CA,947041567,Business Owner,2397 SHATTUCK Ave,BERKELEY,CA,94704
060 248902200,BL-000347,DOG BEHAVIOR TRAINING,Business Personal Repair Svs,BRAVO! PUP,812910 - Pet Care (except Veterinary) Services,B,0,LLC,BRAVO! PUP,40 SENIOR AVE,BERKELEY,CA,94708-2212,Business Owner,40 SENIOR Ave,BERKELEY,CA,94708
055 182002000,BL-000359,RENTAL PROPERTY/4 UNITS,Rental of Real Property,ALLEN THOMAS/PICCOLO TERESA,531110 - Lessors of Residential Buildings and Dwellings,L,0,Partnership,ALLEN THOMAS/PICCOLO TERESA,253 MILITARY E,BENICIA,CA,94510-2856,Business Owner,2018 PARKER ST,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-000362,PAINTING CONTRACTOR,Construction or Contractor,ANDYS PAINTING,238320 - Painting and Wall Covering Contractors,C,0,Sole Ownership,ANDYS PAINTING,2331 CARLETON ST,BERKELEY,CA,94704-3316,Business Owner,0 VARIOUS,BERKELEY,CA,94704
055 188700900,BL-000365,RES. RENTAL-4 UNITS (U1),Rental of Real Property,CIRAULO MARIE & AUDO LEONARD J,531110 - Lessors of Residential Buildings and Dwellings,L,0,Partnership,CIRAULO MARIE & AUDO LEONARD J,2105 MARTIN LUTHER KING JR WAY FL 2,BERKELEY,CA,94704-1108,Business Owner,2217 CHANNING WAY,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-000370,ROOFING CONTRACTOR,Construction or Contractor,ALCAL SPECIALTY CONTRACTING INC,238160 - Roofing Contractors,C,2,Corporation,ALCAL SPECIALTY CONTRACTING INC,946 N MARKET BLVD,SACRAMENTO,CA,95834-1268,Business Owner,0 VARIOUS,BERKELEY,CA,94704
054 174600205,BL-000372,CATERING,Retail Trade,NOURISH YOU,722320 - Caterers,R,3,LLC,NOURISH YOU,114 GLASHAUS LOOP,EMERYVILLE,CA,946081298,Business Owner,2701 EIGHTH St,BERKELEY,CA,94710
055 185601200,BL-000395,RES. RENTAL-4 UNITS (U1),Rental of Real Property,FOUDEH SAUSSAN/SAEED,531110 - Lessors of Residential Buildings and Dwellings,L,2,Partnership,FOUDEH SAUSSAN/SAEED,922 SAN BENITO RD,BERKELEY,CA,94707-2437,Business Owner,2903 DWIGHT Way,BERKELEY,CA,94704
053 166100900,BL-000397,CONTRACTOR,Construction or Contractor,SONTAG CONSTRUCTION INC,236118 - Residential Remodelers,C,12,Corporation,SONTAG CONSTRUCTION INC,1456 SAN PABLO AVE,BERKELEY,CA,94702-1046,Business Owner,2816 SAN PABLO Ave,BERKELEY,CA,94702
ZZZZZZZZZZZZZ,BL-000405,MFG OF HVAC FILTERS,Manufacturing,DAIKIN APPLIED,333411,M,7000,Corporation,DAIKIN APPLIED,13600 INDUSTRIAL PARK BLVD,MINNEAPOLIS,,55441,Business Owner,0 VARIOUS,BERKELEY,CA,94704
055 183300304,BL-000406,RENTAL PROPERTY,Rental of Real Property,2398 PARKER ST LLC,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,2398 PARKER ST LLC,2040 BANCROFT WAY STE 301,BERKELEY,CA,94704-1498,Business Owner,2398 PARKER St,BERKELEY,CA,94704
053 169101601,BL-000414,LEGAL SERVICES,Professional SemiProfessional,BOLT KEENLEY KIM - ATTORNEYS AT LAW,541110 - Offices of Lawyers,P,1,Partnership,BOLT KEENLEY KIM - ATTORNEYS AT LAW,2855 TELEGRAPH AVE STE 517,BERKELEY,CA,94705-1151,Business Owner,2855 TELEGRAPH Ave,BERKELEY,CA,94705
063 298605300,BL-000415,FINANCIAL PLANNING,Professional SemiProfessional,FRUITION ADVISORS LLC,523930 - Investment Advice,P,1,LLC,FRUITION ADVISORS LLC,1159 KEITH AVE,BERKELEY,CA,947081606,Business Owner,1159 KEITH Ave,BERKELEY,CA,94708
055 189600400,BL-000418,"RENTAL KITCHENS, CATERING",Retail Trade,CERTIFIED KITCHENS,722320 - Caterers,R,1,Corporation,CERTIFIED KITCHENS,PO BOX 5542,WALNUT CREEK,CA,94596-1542,Business Owner,2428 SHATTUCK Ave,BERKELEY,CA,94704
052 156506600,BL-000420,GRAPHIC DESIGNER,Professional SemiProfessional,KEVIN PERERA DESIGN,541490 - Other Specialized Design Services,P,1,Sole Ownership,KEVIN PERERA DESIGN,9 CLAREMONT CRES,BERKELEY,CA,947052323,Business Owner,9 CLAREMONT Cres,BERKELEY,CA,94705
060 243203200,BL-000423,DOCUMENT SHREDDING,Business Personal Repair Svs,AUTOMATIC RESPONSE SYSTEMS,561990 - All Other Support Services,B,5,Corporation,AUTOMATIC RESPONSE SYSTEMS,1461 EASTSHORE HWY,BERKELEY,CA,94710,Business Owner,1536 ADA ST,BERKELEY,CA,94703
061 257800900,BL-000431,GENERAL CONTRACTOR,Construction or Contractor,ASHKENAS CONSTRUCTION,236118 - Residential Remodelers,C,0,Sole Ownership,ASHKENAS CONSTRUCTION,77 SAN MATEO RD,BERKELEY,CA,94707-2015,Business Owner,77 SAN MATEO RD,BERKELEY,CA,94707
057 206901802,BL-000437,RES. RENTAL - 5 UNITS,Rental of Real Property,ABRAHAM GLENN & ROB,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,ABRAHAM GLENN & ROB,PO BOX 1012,OAKHURST,CA,93644-1012,Business Owner,1624 HEARST AVE,BERKELEY,CA,94703
055 189001201,BL-000439,PHYSICIAN,Professional SemiProfessional,ALIN FOUNDATION MEDICAL,621111 - Offices of Physicians (except Mental Health Specialists),P,4,Sole Ownership,ALIN FOUNDATION MEDICAL,2705 WEBSTER ST UNIT 5885,BERKELEY,CA,94705-5049,Business Owner,2107 DWIGHT WAY,BERKELEY,CA,94704
058 217400100,BL-000444,ARTS & CRAFTS & TICKETS,Retail Trade,ARTS & CRAFTS COOP INC,453920 - Art Dealers,R,5,Corporation,ARTS & CRAFTS COOP INC,1652 SHATTUCK AVE,BERKELEY,CA,947091631,Business Owner,1652 SHATTUCK AVE,BERKELEY,CA,94709
ZZZZZZZZZZZZZ,BL-000449,ALARM COMPANY,Construction or Contractor,JOHNSON CONTROLS SECURITY SOLUTION LLC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,4,LLC,JOHNSON CONTROLS SECURITY SOLUTION LLC,PO BOX 3042,BOCA RATON,FL,33431,Business Owner,0 VARIOUS,BERKELEY,CA,94704
058 212602800,BL-000451,MARKETING STRATEGY,Professional SemiProfessional,A HUNDRED MONKEYS INC,541613 - Marketing Consulting Services,P,6,Corporation,A HUNDRED MONKEYS INC,PO BOX 2905,BERKELEY,CA,94702,Business Owner,1715 NINTH St,BERKELEY,CA,94710
060 235200100,BL-000452,OFFICE SUPPLIES,Retail Trade,OFFICE DEPOT #03306,453210 - Office Supplies and Stationery Stores,R,15,Corporation,OFFICE DEPOT #03306,PO BOX 5029,BOCA RATON,FL,33431-0829,Business Owner,1318 TENTH St,BERKELEY,CA,94710
060 239501100,BL-000459,AUTOMOTIVE REPAIR & SALE,Business Personal Repair Svs,AUTO ALPINA,811111 - General Automotive Repair,B,2,Sole Ownership,AUTO ALPINA,1499 SAN PABLO AVE,BERKELEY,CA,94702,Business Owner,1499 SAN PABLO AVE,BERKELEY,CA,94702
052 152400104,BL-000473,RES. RENTAL - 4 UNITS,Rental of Real Property,MAC GLOBAL INVESTMENTS LLC,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,MAC GLOBAL INVESTMENTS LLC,PO BOX 1189,FREMONT,CA,945380118,Business Owner,3337 KING St,BERKELEY,CA,94703
ZZZZZZZZZZZZZ,BL-000484,GLASS CONTRACTOR,Construction or Contractor,ARROW GLASS COMPANY INC,238150 - Glass and Glazing Contractors,C,10,Corporation,ARROW GLASS COMPANY INC,640 SAN PABLO AVE,BERKELEY,CA,94706-1129,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-000488,FIRE  EQUIPMENT,Wholesale Trade,ACME FIRE EXTINGUISHER CO,423990 - Other Miscellaneous Durable Goods Merchant Wholesalers,W,10,Corporation,ACME FIRE EXTINGUISHER CO,1305 FRUITVALE AVENUE,OAKLAND,CA,94601,Business Owner,0 VARIOUS,BERKELEY,CA,94704
052 153601200,BL-000498,RES. RENTAL - 3 UNITS,Rental of Real Property,HARMON PROPERTIES,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,HARMON PROPERTIES,2136 CALIFORNIA ST APT 16,SAN FRANCISCO,CA,941152842,Business Owner,1511 HARMON St,BERKELEY,CA,94703
056 193401600,BL-000504,RENTAL PROPERTY,Rental of Real Property,HERBERT ANDREA INVESTMENT PARTNERS,531110 - Lessors of Residential Buildings and Dwellings,L,1,Partnership,HERBERT ANDREA INVESTMENT PARTNERS,3017 BATEMAN ST,BERKELEY,CA,947052507,Business Owner,2334 TENTH St,BERKELEY,CA,94710
060 238500912,BL-000510,WINE PRODUCTION,Manufacturing,CHAIM LLC,312130 - Wineries,M,0,LLC,CHAIM LLC,PO BOX 2609,BERKELEY,CA,94702-0609,Business Owner,1102 SIXTH St,BERKELEY,CA,94710
059 226000201,BL-000511,HAIR STYLIST,Business Personal Repair Svs,MORRIS CATHERINE,812112 - Beauty Salons,B,0,Sole Ownership,MORRIS CATHERINE,876 larkspur ct,Brentwood,CA,94513,Business Owner,2118 VINE St,BERKELEY,CA,94709
053 163500101,BL-000514,LUMBER/RETAIL HARDWARE,Retail Trade,ASHBY LUMBER CO,444110 - Home Centers,R,86,Corporation,ASHBY LUMBER CO,2295 ARNOLD INDUSTRIAL WAY,CONCORD,CA,94520 534,Business Owner,824 ASHBY AVE,BERKELEY,CA,94710
