"File Date","Status","Record Number","Record Type","Address","Description","Short Notes",
"06/30/2026","Permit Issued","RE2601600","(RE) - Electrical - 1 & 2 Unit Residential (Building)","6109 HARWOOD AVE, Oakland CA 94618","Complete safety rewire of existing single-family residence, including replacement of branch circuit wiring, receptacles, switches, and lighting outlets, and reconnection of circuits to comply with current California Electrical Code. Work includes 31 receptacles, 22 switches, and 27 light fixtures.",,
"06/30/2026","Complete","BW26001995","(BW) - Building Worksheet (Building)","10950 INTERNATIONAL BLVD, Oakland CA 94603","A MODIFICATION OF AN (E) VERIZON WIRELESS UNMANNED TELECOMMUNICATION FACILITY CONSISTING OF:REMOVING & REPLACING (6) (E) ANTENNAS W/ (9) (N) ANTENNASREMOVING & REPLACING (3) (E) RADIO 4449 UNITS W/ ( 4) (N) RADIO 4490 UNITSREMOVING (6) (E) RRUS-32 UNITSINSTALLING (3) (N) ANTENNA MOUNTSINSTALLING (1) (N) 6627 BASEBAND UNIT IN EQUIPMENT SHELTERRETAINING (3) (E) ANTENNASRETAINING (2) (E) 6627 SURGE SUPPRESSORSRETAINING (2) (E) 12X24 HYBRID CABLES",,
"06/30/2026","Permit Issued","CGS2601569","DOT - Curb Gutter Sidewalk Standard Compliance Certificate","5718 ADELINE ST, Oakland CA 94608",,,
"06/30/2026","Created","BW26001987","(BW) - Building Worksheet (Building)","1008 39TH ST, Oakland CA 94608","TO REMODEL THE EXISTING DWELLING: 1) Additional bedroom new windows all throughout (note existing - LIKE FOR LIKE)update electrical wiring with sub panel,Mini split system to two bedrooms and one in the main living room, new plumbing: for kitchen and bathroomCODE ENFORCEMENT CASE: 2602914",,
"06/30/2026","Permit Issued","CGS2601575","DOT - Curb Gutter Sidewalk Standard Compliance Certificate","6446 COLBY ST, Oakland CA 94618",,,
"06/30/2026","Permit Issued","RM2600801","(RM) - Mechanical - 1 & 2 Unit Residential (Building)","321 HEMPHILL PL, Oakland CA 94618","Installl a new ducted inverter heat pump system, bathroom fan exhaust  system and  a new 240v circuit.",,
"06/30/2026","Scheduled Appointment","BW26001990","(BW) - Building Worksheet (Building)","277 BROOKLYN BASIN WY, OAKLAND CA","Revson Plan Check for assembly detail",,
"06/30/2026","In Progress","TR-ND26-00073","(ND) - Non-Developmental Tree Permit (OPW)","6494 MELVILLE DR, Oakland CA 94611","Coast Live Oak tree located at the center of the backyard next to the residence.  Tree is too close to the house and is a fire/structural hazard.  It will be removed to ground level.  All brush, wood and debris to be removed.",,
"06/30/2026","Permit Issued","RE2601589","(RE) - Electrical - 1 & 2 Unit Residential (Building)","4924 COCHRANE AVE, Oakland CA 94618","Remove and replace existing Sub Panel in Mechanical room with new one. Install hard wired level 2 car charger.",,
"06/30/2026","Intake - On Hold","SL2601237","(SL) - Sewer Lateral (OPW)","2679 MOUNTAIN GATE WY, Oakland CA 94611","Repair/replace building sewer ON PROPERTY ONLY. SL & X required beyond PL. Overflow device may be needed. If working within 25' feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. USA # and date must be provided in order to have a permit issued. Permit valid for 90 days. If the work is to be performed on a designated “Creekside Property” the work will require a “Creek Protection Permit”. If the property is not currently flagged in Accela as a “Creekside Property” but work will be performed within 100’ of a creek channel, a “Creek Determination” should be conducted to determine if the work is subject to the Creek Protection Ordinance.  Call PWA INSPECTION prior to start: 510-238-3651 or email PWA_inspections@oaklandca.gov",,
"06/30/2026","Pending - Incomplete","BW26001991","(BW) - Building Worksheet (Building)","2390 103RD AVE, OAKLAND CA 94603","This permit revision is submitted in response to the Building Inspector's corrections. Revised structural plans are provided for the foundation replacement at the ADU conversion as requested. Foundation inspection will be scheduled following plan revision approval. UFER ground will be verified during the required inspection.",,
"06/30/2026","Certificate Issued","R2600811","(R) - ReRoof Certificate (Building)","3561 64TH AVE, Oakland CA 94605","About 1200sq ft reroof. On 4/12 pitch.Tear down , install #30 felt paper . Install 12 sqs comp shingles light grey. Add 6 eyebrow vents.",,
"06/30/2026","Intake - Completed","X2600559","DOT - Excavation (X)","3112 MARTIN LUTHER KING JR, OAKLAND United States","JB2565558 - PMR. This project proposes to adjust CATV vault to grade at the corner of MLK Jr Way and 31st St. Install (2)2"" conduit and a Comcast cable. Restore the affected areas.",,
"06/30/2026","Permit Issued","CGS2601573","DOT - Curb Gutter Sidewalk Standard Compliance Certificate","1108 E 33RD ST, Oakland CA 94610",,,
"06/30/2026","Certificate Issued","R2600814","(R) - ReRoof Certificate (Building)","2515 55TH AVE, Oakland CA 94605","Removal of the old roof and installation of new asphalt shingles. (1,590 Sq.ft.)",,
"06/30/2026",,"26TMP-031389","(LBP) - Lead Based Paint (Building)","5125 DAISY ST, Oakland CA 94619","exterior painting",,
"06/30/2026","Certificate Issued","R2600810","(R) - ReRoof Certificate (Building)","3528 ROBINSON DR, Oakland CA 94602","remove and replace existing roofing with comp shingle roofing",,
"06/30/2026","Permit Issued","RE2601595","(RE) - Electrical - 1 & 2 Unit Residential (Building)","1887 TRESTLE GLEN RD, Oakland CA 94610","replacement of main panel  like to like no additional Loades  100 a",,
"06/30/2026","Permit Issued","SL2601235","(SL) - Sewer Lateral (OPW)","6308 HEATHER RIDGE WY, Oakland CA 94611","replace the upper and lower portion of the PSL from the south side of the House up to center of the street,the entire lenght of pipe are approx 70 feet",,
"06/30/2026",,"26TMP-031365","(BW) - Building Worksheet (Building)","1040 56TH ST, Oakland CA 94608","Propose to add a window unit into the east-facing wall of an existing detached garage. Garage is approx 240 sq ft. No new square footage to be added.",,
"06/30/2026","Created","BW26001986","(BW) - Building Worksheet (Building)","7421 MACARTHUR BLVD, Oakland CA 94605","Repair damaged stucco on face of building and eave, fascia  and soffit at front of exterior of building..  Area is total of only 70 square feet",,
"06/30/2026","Inspections - In Progress","SL2601236","(SL) - Sewer Lateral (OPW)","5666 LA SALLE AVE, Oakland CA 94611","Repair/replace sewer lateral and EXCAVATE in PUBLIC RIGHT-OF-WAY. Overflow device may be needed. If working within 25' feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. Comply with all terms of City of Oakland Public Works Standards, Street Excavation Rules, Revised March 2015 and City Council Ordinance No. 13300 C.M.S. Five days prior notice required for work lasting five days or less in business/commercial districts: 72 hour notice in residential districts. Ten days prior notice required for work lasting six days or more in all districts. USA # and date must be provided in order to have a permit issued. Permit valid 90 days. If the work is to be performed on a designated “Creekside Property” the work will require a “Creek Protection Permit”. If the property is not currently flagged in Accela as a “Creekside Property” but work will be performed within 100’ of a creek channel, a “Creek Determination” should be conducted to determine if the work is subject to the Creek Protection Ordinance. Permit valid 90 days. PRIOR TO START, please schedule your inspection via the contractor's mobile app: https://citygovapp.com/app/opwirprod.htm USA#2026063001361-000",,
"06/30/2026","Certificate Issued","R2600809","(R) - ReRoof Certificate (Building)","882 ALMA PL, Oakland CA 94610","Re-roof: 10SQ tear off install tiles + 11SQ of modified bitumen system, no redecking. Total roof area: 21SQ.",,
"06/30/2026","Minor Engineer of Day Review","RBC2601859","(RBC) - Building Residential Combo Alteration- 1 & 2 Unit Residential (Building)","2025 BRAEMAR RD, Oakland CA 94602","Seismic strengthening of underfloor area to reduce risk of damage per Engineered Plan.",,
"06/30/2026","Permit Issued","LBP2600118","(LBP) - Lead Based Paint (Building)","5125 DAISY ST, Oakland CA 94619","exterior painting",,
"06/30/2026","Permit Issued","RE2601598","(RE) - Electrical - 1 & 2 Unit Residential (Building)","2429 SCOUT RD, Oakland CA 94611","Install new 18kw 240v tankless water heater. Provide (2) 40A double pole breakers and dediciated circuits. to existing 100amp service.",,
"06/30/2026","Created","OB2600799","Obstruction","2021 7TH AVE, Oakland CA 94606","Reserve  1 parking space in front of driveway to parcel only for dumpster, construction vehicle, moving van or storage pod. Post No-parking signs 72 hours prior in residential areas. No impact on traffic lane or sidewalk allowed, except as noted. No-parking signs picked up by applicant after payment, 4TH FLOOR. To Have Illegally Parked Vehicle Ticketed Call 510-777-3333. Applicant arranges towing. Comply with terms set forth in CVC Section 22651 (m). For Towed Vehicle: Call 510-777-3333.",,
"06/30/2026","Permit Issued","RE2601596","(RE) - Electrical - 1 & 2 Unit Residential (Building)","918 UNDERHILLS RD, Oakland CA 94610","Remove the existing sub panel in the basement crawlspace and Install (1) new 100A interior sub panel in the upstairs hallway.",,
"06/30/2026","Intake - Completed","X2600564","DOT - Excavation (X)","965 88TH AVE, Oakland CA 94621","PG&E PM 47198814 PG&E to excavate in the public ROW to repair a gas leak. restoration to follow. Moratorium street.  Trenching approx. 4' x 4'.  Ensure that environmental controls are in place to prevent dust/debris/wastewater from contaminating environment. If working within 15 feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. Comply with all terms of City of Oakland Public Works Standards, Street Excavation Rules, Revised August 2021 and City Council Ordinance No. 13300 C.M.S. Five days’ prior notice required for work lasting five days or less in business/commercial districts: 72-hours’ notice in residential districts. Ten days prior notice required for work lasting six days or more in all districts. SCHEDULE INSPECTION at least 48 hours in advance at: http://oaklanddot.com/projects/search.html """,,
"06/30/2026",,"PX2600012","Public Infrastructure (P-Job)","2850 west ST, OAKLAND CA","Public infrastructure as detailed in Engineer's Cost estimate by Haley & Aldrich, Inc. for improvements, including but not limited to sanitary sewer manhole, pipe bursting 200 linear feet of 8inch sanitary sewer main and connection to City sewer main. Additional permits/fees may be required including permits from outside agencies/utility companies. Applicant is responsible to submit plans that match to all applicable City Departments and must notify those Departments if/when revisions are made to the plans. Failure to do so may result in delays, additional fees and penalties. If working within 15' feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. Contractor must have a valid CLASS “A” license and current City of Oakland Business License. All ""Submittals"" shall be provided to the DOT Inspector. A pre-construction meeting is required prior to beginning any work.",,
"06/30/2026","Payment Received","CGS2601574","DOT - Curb Gutter Sidewalk Repair","594 KENMORE AVE, Oakland CA 94610","NOTE: ***BEFORE any work in Right of Way, please call 510-238-3860 forty-eight hours in advance. Applicant is subject to fine if work is started WITHOUT scheduling a pre-inspection***  Repair sidewalk to City Standards (maximum 2%). If working within 25' feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. Comply with all terms of City of Oakland Public Works Standards, Street Excavation Rules, Revised March 2015 and City Council Ordinance No. 13300 C.M.S. Five day prior notice required for work lasting five days or less in business/commercial districts; 72 hour notice in residential districts. Ten day prior notice required for work lasting six days or more in all districts.",,
"06/30/2026","On Hold - Field Check Pending","RBC2601858","(RBC) - Building Residential Combo Alteration- 1 & 2 Unit Residential (Building)","1418 8TH ST, Oakland CA 94607","To abate CE Case #2603920. At residential duplex: Complete remodel of both units to include replacement of all windows and exterior decks and stairs (like-for-like). Add half-bath to attic. To include related mechanical, electrical and plumbing.",,
"06/30/2026","Intake - Completed","X2600563","DOT - Excavation (X)","2319 92ND AVE, Oakland CA 94603","PG&E PM 35733768-PG&E to replace two joint poles, OH services, OH secondary and OH transformer.  Ensure that environmental controls are in place to prevent dust/debris/wastewater from contaminating environment. If working within 15 feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. Comply with all terms of City of Oakland Public Works Standards, Street Excavation Rules, Revised August 2021 and City Council Ordinance No. 13300 C.M.S. Five days’ prior notice required for work lasting five days or less in business/commercial districts: 72-hours’ notice in residential districts. Ten days prior notice required for work lasting six days or more in all districts. SCHEDULE INSPECTION at least 48 hours in advance at: http://oaklanddot.com/projects/search.html """,,
"06/30/2026","Void","OB2600798","Obstruction","2021 7TH AVE, Oakland CA 94606","Reserve  1 parking space in front of driveway to parcel only for dumpster, construction vehicle, moving van or storage pod. Post No-parking signs 72 hours prior in residential areas. No impact on traffic lane or sidewalk allowed, except as noted. No-parking signs picked up by applicant after payment, 4TH FLOOR. To Have Illegally Parked Vehicle Ticketed Call 510-777-3333. Applicant arranges towing. Comply with terms set forth in CVC Section 22651 (m). For Towed Vehicle: Call 510-777-3333.",,
"06/30/2026","Complete","BW26001994","(BW) - Building Worksheet (Building)","470 61ST ST, Oakland CA 94609","REVISION TO RBC2503680-81 - Submitting Revised 1 Hour Exterior Wall and Soffit Details 1 and 2/ Sheet D-1 of the Approved Plans. This Revision Specifies WUI Compliant 1x6  'Boral"" Cementitious Siding over 5/8"" Type 'x' gypsum  board within 5' 0"" of the Property Line.  Approved Plans show stucco with eave venting.  Eave venting into attic space, as shown by the previous Plan Preparer, is problematic for fire spread, and this Revision is superior for fire mitigation concerns.  Further, this revised exterior finish will 'match' the existing 1x6 style of the existing garage.",,
"06/30/2026","Intake - Completed","OB2600797","Obstruction","555 19TH ST, Oakland CA 94612","Block # of s/w with pedestrian canopy. Leave 5.5’ clear for pedestrian access, except as otherwise noted on TCP/X permit. No impact on traffic lane or parking, except as otherwise noted on TCP/X permit. Ensure that environmental controls are in place to prevent dust/debris/waste water from contaminating environment.",,
"06/30/2026","Intake - Completed","X2600562","DOT - Excavation (X)","1410 MAGNOLIA ST, Oakland CA 94607","PG&E PM 35716554-PG&E to replace UG service, UG secondary and secondary enclosures. PG&E to trench and restore.  Trenching 148' x 18"" x 40"".  Ensure that environmental controls are in place to prevent dust/debris/wastewater from contaminating environment. If working within 15 feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. Comply with all terms of City of Oakland Public Works Standards, Street Excavation Rules, Revised August 2021 and City Council Ordinance No. 13300 C.M.S. Five days’ prior notice required for work lasting five days or less in business/commercial districts: 72-hours’ notice in residential districts. Ten days prior notice required for work lasting six days or more in all districts. SCHEDULE INSPECTION at least 48 hours in advance at: http://oaklanddot.com/projects/search.html """,,
"06/30/2026","Minor Engineer of Day Review","B2601856","(B) - Building Alteration - 3+ Residential Units or Commercial (Building)","4536 THOMPSON ST, Oakland CA 94601","Rebuild stairs and 2nd floor walkway of same size and location at MFD. Compliance with E3. DRX260554.",,
"06/30/2026","On Hold - Fee Due","S2600058","(S) Sign Permit- New and Alterations","2731 13TH AVE, Oakland CA 94606","Change of the existing Signage outside.  Signs to reach, install 2 new illuminated ""Thomas Market"" for business.",,
"06/30/2026","In Review","X2600561","DOT - Excavation (X)","250 10TH ST, Oakland CA 94607","PG&E PM 35648279- Related Permit: ENMI26097     PG&E to install UG primary, UG service, remove fuse, and install subsurface interrupter. Applicant to trench and restore (PX2400028).  Ensure that environmental controls are in place to prevent dust/debris/wastewater from contaminating environment. If working within 15 feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. Comply with all terms of City of Oakland Public Works Standards, Street Excavation Rules, Revised August 2021 and City Council Ordinance No. 13300 C.M.S. Five days’ prior notice required for work lasting five days or less in business/commercial districts: 72-hours’ notice in residential districts. Ten days prior notice required for work lasting six days or more in all districts. SCHEDULE INSPECTION at least 48 hours in advance at: http://oaklanddot.com/projects/search.html """,,
"06/30/2026","Permit Issued","RE2601593","(RE) - Electrical - 1 & 2 Unit Residential (Building)","872 37TH ST, Oakland CA 94608","Need a Meter Release Inspection for a greed tag to PGE so that PGE can replace the electrical meter. No electrical work involved, only need a green tag inspection.",,
"06/30/2026","Payment Received","OB2600796","Obstruction","2968 MACARTHUR BLVD, Oakland CA 94602","PG&E PM:35068306-3B- Loc # 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, & 83. Tree trimming required. Replace 18 poles, 6 transformers, and oh services. Install 2 transformers, Replace primary, secondary & associated equipment. See drawings for more details. Related Permit: X2501219 and X2600174.Reserve 11 (275') NON-METERED parking space(s) in front of parcel only for dumpster, construction vehicle, moving van or storage pod. Post No-parking signs 72 hours prior in residential areas. No impact on traffic lane or sidewalk allowed, except as noted on TCP/X permit. NO-PARKING SIGNS SHALL PICKED UP BY APPLICANT AFTER PAYMENT TO ENFORCE PERMIT REQUIREMENT. To have illegally parked vehicle ticketed: Call 510-777-3333. Applicant arranges towing. Comply with terms set forth in CVC Section 22651 (m). For towed vehicle: Call 510-238-3021.2968 TO 3016 MacARTHUR BLVD.",,
"06/30/2026","Intake - Completed","X2600560","DOT - Excavation (X)","4271 WHITTLE AVE, Oakland CA 94602","PG&E PM 35722911: PGE to install oh tx, secondary breakers, oh service cablePM 35722911.  Ensure that environmental controls are in place to prevent dust/debris/wastewater from contaminating environment. If working within 15 feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. Comply with all terms of City of Oakland Public Works Standards, Street Excavation Rules, Revised August 2021 and City Council Ordinance No. 13300 C.M.S. Five days’ prior notice required for work lasting five days or less in business/commercial districts: 72-hours’ notice in residential districts. Ten days prior notice required for work lasting six days or more in all districts. SCHEDULE INSPECTION at least 48 hours in advance at: http://oaklanddot.com/projects/search.html """,,
"06/30/2026","Permit Issued","RE2601592","(RE) - Electrical - 1 & 2 Unit Residential (Building)","3117 62ND AVE, Oakland CA 94605","Meter to remain, upgrade main service panel from 100 amp to 200 amp",,
"06/30/2026","Permit Issued","RM2600803","(RM) - Mechanical - 1 & 2 Unit Residential (Building)","49 MOSS AVE, Oakland CA 94610","Install a new ducted inverter heat pump system and a new 240v circuit for outdoor unit heat pump",,
"06/30/2026","Permit Issued","RP2600824","(RP) Plumbing - 1 & 2 Unit Residential (Building)","5826 BROADWAY, Oakland CA 94618","Extending houseline gas plumbing to facilitate meter move",,
"06/30/2026","Permit Issued","RE2601591","(RE) - Electrical - 1 & 2 Unit Residential (Building)","638 TRESTLE GLEN RD, Oakland CA 94610","New 2 50 amp circuits for jacuzzi, 2 30 amp circuits for spa, 4 outdoor receptacles and 2 circuits for the receptacles in backyard of SFD.",,
"06/30/2026","Permit Issued","CGS2601567","DOT - Curb Gutter Sidewalk Repair","2469 MAXWELL AVE, Oakland CA 94601","per approved plans per City Standard. If working within 25' feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. Comply with all terms of City of Oakland Public Works Standards, Street Excavation Rules, Revised March 2015 and City Council Ordinance No. 13300 C.M.S. Five day prior notice required for work lasting five days or less in business/commercial districts; 72 hour notice in residential districts. Ten day prior notice required for work lasting six days or more in all districts. USA # and date must be provided in order to have a permit issued. SCHEDULE AN INSPECTION FOR EXCAVATION http://oaklanddot.com/cgs/projects/search.html",,
"06/30/2026","Payment Received","OB2600795","Obstruction","3410 MAPLE AVE, Oakland CA 94602","PG&E PM35068306-3A- (phase 2 of 3) Loc # 32, 33, 34, 35, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, & 60. Tree trimming required. Replace 12 poles, 5 transformers, and oh services.  Install 2 transformers.Reserve 26 (650') NON-METERED parking space(s) in front of parcel only for dumpster, construction vehicle, moving van or storage pod. Post No-parking signs 72 hours prior in residential areas. No impact on traffic lane or sidewalk allowed, except as noted on TCP/X permit. NO-PARKING SIGNS SHALL PICKED UP BY APPLICANT AFTER PAYMENT TO ENFORCE PERMIT REQUIREMENT. To have illegally parked vehicle ticketed: Call 510-777-3333. Applicant arranges towing. Comply with terms set forth in CVC Section 22651 (m). For towed vehicle: Call 510-238-3021.3410 to 3315 MAPLE AVE6PM 07/11 to 9AM 07/12",,
