project_id,address,units,status,storeys,height_m,feet_stated,basis,all_figures,snippet
25,2455 TELEGRAPH Ave,68,In Review,8,28.0,,construction phrase,8(build),"UPPH to construct a 85,000SF 8-story mixed-use building,"
26,2298 DURANT Ave,65,In Review,8,28.0,,construction phrase,8(build),"ll existing buildings, merger of two lots, and construction of a new, 8-Story, 79,522sf, 91'-6"" t"
27,2441 LE CONTE Ave,65,Completed,5,17.5,,construction phrase,5(build),"roup living accommodations (7 Very-Low Income Units), and construct a five-story (48 feet average he"
28,2372 ELLSWORTH St,63,Entitled,7,24.5,,construction phrase,7(build),"SB-330 Project: Demolition of existing building to construct a seven-story, 49,900-square-foot"
30,2001 CENTER St,58,In Review,,,,ONLY demolition figures — rejected,7(demo),"To convert the existing 7-story,  ~35,904 sq.ft. of"
31,2712 TELEGRAPH Ave,57,In Review,6,21.0,,construction phrase,2(demo); 6(build)," & construction, with the state of California density bonus, of a new 6-story residential buildin"
32,1740 SAN PABLO Ave,54,Permitted,6,21.0,,construction phrase,1(demo); 6(build),"molition of existing 1 story commercial structure.  Construction of a 6-story, 54 units, Mixed-Us"
35,2190 SHATTUCK Ave,452,In Review,34,119.0,,unqualified (no demolition nearby),34(unknown); 25(unknown); 34(unknown),SB-330: 34-story mixed-use tower wit
36,2733 SAN PABLO Ave,152,In Review,8,28.0,,construction phrase,8(build),molition of existing non-landmarked structures. Construction of a new 8-story mixed-use residenti
37,2614 TELEGRAPH Ave,31,In Review,5,17.5,,construction phrase,5(build),"ommercial office (2417 Carleton), and construct a 38,000 square-foot, 5-story (57-foot) mixed-use"
38,2449 DWIGHT Way,39,Entitled,8,28.0,,construction phrase,4(demo); 8(build),"d 4 additional stories of residential dwelling units, resulting in an 8-story, 56,217 square foot"
39,1790 UNIVERSITY Ave,17,In Review,5,17.5,,construction phrase,5(build),"sidential structures and one single-family residence, and construct a 5-story (56 feet) mixed-use"
40,1710 UNIVERSITY Ave,16,In Review,4,14.0,,construction phrase,4(build),"Demolish existing commercial building. Construct 4-story, mixed-use building"
42,1740 UNIVERSITY Ave,12,Entitled,2,7.0,,construction phrase,2(build),"c Hearing to convert an existing 12,503 SF, 31 feet in maximum height two story commercial building"
45,2200 FIFTH St,8,Withdrawn,3,10.4,34.0,construction phrase · height from STATED FEET (beats storeys x 3.5),3(build); 3(build),Use Permit with Public Hearing to construct a total of eight three story townhouses 34 feet 
46,1745 CEDAR St,6,In Review,3,10.5,,construction phrase,3(build),"The project is the construction of a new 3-story (35'-0""), 6-unit ho"
47,1850 BERRYMAN St,6,In Review,3,10.5,,construction phrase,3(build),Preliminary application for the construction of a new 3-story residential develop
51,2942 COLLEGE Ave,4,In Review,2,7.0,,construction phrase,2(build),demolish and existing non-residential building and construct a new two-story mixed-use developme
52,2437 WARRING St,4,In Review,2,7.0,,construction phrase,2(build),"tage, stories and units to a multi-family building with an additional 2 stories using variances."
53,2641 COLLEGE Ave,3,Completed,3,10.5,,construction phrase,2(demo); 3(build),"06 square-feet lot in the rear and construct a new 3,310 square feet, three-story (39 feet) residenti"
54,2205 BLAKE St,3,In Review,3,10.5,,construction phrase,3(build),Pre-application meeting for a proposal of a new 3-story duplex and new 371 
58,1449 CORNELL Ave,3,In Review,2,7.0,,construction phrase,2(build),".) and construct one new,1,865 sq. ft. (1,750 net habitable sq. ft.), 2-story, single-family dwel"
59,1514 WALNUT St,3,In Review,3,10.5,,construction phrase,3(build),"2,600 SF lot, which contains an existing duplex building. Propose new three story three unit resident"
61,2812 EIGHTH St,3,In Review,3,10.5,,construction phrase,3(build)," shed and construct 4 residential units in 3 separate buildings, each 3 stories. There is a total s"
62,2201 BLAKE St,3,Entitled,3,10.5,,construction phrase,3(build),"s for a total of seven units on a landmarked lot -- Construction of a three story - 3,551 SF duplex, "
63,1716 SEVENTH St,2,Completed,2,7.0,,construction phrase,2(build); 2(build),"le Family Residence, detached garage & detached shed. | Construct new 2-story single family resid"
65,1922 FRANCISCO St,2,In Review,,,,ONLY demolition figures — rejected,3(demo),"Storage building removed, two new 1,653s.f. 3-story units with SB684 Lo"
66,2204 DWIGHT Way,2,In Review,3,10.5,,construction phrase,1(demo); 3(build),SB330. Demolish existing 1-story (4-car) garage and construct a new 3-story residential duplex.
67,1419 GRANT St,2,Permitted,2,7.0,,construction phrase,2(demo); 2(build)," 2,140-square-foot rear lot containing a new 1,655-square-foot (GFA), two-story single-family dwell"
69,2808 NINTH St,2,In Review,2,7.0,,construction phrase,2(build); 2(build),project to demolish an inhabitable single-family home and construct a two-story duplex with a detac
70,3001 BENVENUE Ave,1,Completed,3,10.5,,unqualified (no demolition nearby),2(unknown); 3(unknown)," approximate 1,860 square-foot, 18 feet, 10 inches in average height, two-story residential dwellin"
73,0 LE ROY Ave,1,In Review,3,10.5,,construction phrase,3(build),SB 9 Preliminary Eligibility Determination to construct a three-story single family resid
78,1139 KEELER Ave,1,In Review,3,10.5,,construction phrase,3(build),Construction of a three-story single-family resid
80,659 GRIZZLY PEAK Blvd,1,In Review,,,,ONLY demolition figures — rejected,2(demo); 2(unknown), story one bedroom house of 986 sq. ft. with a basement garage into a two story three-bedroom house
81,1522 JOSEPHINE St,0,In Review,2,8.5,28.0,construction phrase · height from STATED FEET (beats storeys x 3.5),2(build),"olish a Single-Family Residence and construct a new 2,100 square feet two-story 28 feet tall Single"
86,2740 SHASTA Rd,0,In Review,,,,ONLY demolition figures — rejected,3(demo),"es), partially within the nonconforming front setback, to an existing three-story single-family resid"
88,705 ARLINGTON Ave,0,Completed,2,7.0,,construction phrase,2(build)," work, update GFCI outlets and switches. Fire zone 2 | To construct a two-story, 1,700 square-foot,"
90,576 SAN LUIS Rd,0,Completed,2,6.1,20.0,construction phrase · height from STATED FEET (beats storeys x 3.5),2(build),"er.  Install 20 amp AFCI circuit for living room plugs | AUP to add a two-story 20 feet tall, 577 s"
93,1312 ADDISON St,0,In Review,3,10.5,,construction phrase,3(build),Use Permit to construct a three-story major residential a
105,1187 SHATTUCK Ave,0,Completed,3,10.5,,construction phrase,3(build); 3(demo),"s max height (447-square-feet below 6-feet in height) and construct a three-story, approximately 250-"
114,2727 HASTE St,45,In Review,6,21.0,,construction phrase,6(build),"Use Permit #ZP2026-0007 to construct a new 6-story (66’-3”), 45-unit h"
116,2462 BANCROFT Way,66,Entitled,8,28.0,,unqualified (no demolition nearby),8(unknown),"8-story, 66 units, 3 VLI, d"
117,2317 CHANNING Way,22,Stalled,5,17.5,,construction phrase,5(build); 5(build),he proposed project will provide 17 apartments in a newly constructed 5 story building on an exis
119,1974 SHATTUCK Ave,599,Entitled,28,98.0,,construction phrase,28(build),"1950,1974,1984,1998 Shattuck Ave & 2071 University. Construction of a 28-story mixed-use building "
120,2274 SHATTUCK Ave,299,Entitled,17,59.5,,construction phrase,17(build),Partial demo of existing commercial structures to construct a new 17-story mixed-used building
121,2100 MILVIA St,205,Entitled,8,28.0,,construction phrase,2(build); 8(build),Demolish existing two story office building to 
122,2530 BANCROFT Way,110,Entitled,12,42.0,,construction phrase,12(build),JECT: Removal of existing commercial structure. Construction of a new 12-story mixed use housing d
123,2037 DURANT Ave,74,Entitled,8,28.0,,construction phrase,1(demo); 8(build),"lish 1-story 13,000 square foot commercial building, and construct an 8-story (90 feet), 76,373 s"
124,2442 HASTE St,34,Under Construction,8,28.0,,construction phrase,3(build); 8(build),SB330 project to demolish an existing three-story residential buildin
126,2427 San Pablo,78,Completed,5,17.5,,construction phrase,5(build),"wo existing multifamily buildings and construct a 36,280 square foot, five-story (70 feet, 8 inches)"
127,2820 San Pablo,1,Entitled,4,14.0,,construction phrase,2(build); 4(build)," 2821 10th Street, treated as one project. Building 1 (2821 10th St): 2-story + mezzanine roof de"
128,2833 Seventh St,3,Entitled,2,7.0,,unqualified (no demolition nearby),2(unknown),"Use Permit #ZP2023-0123 to convert a 1,024 square-foot two-story commercial unit to "
129,1614 Sixth St,3,Completed,3,10.5,,construction phrase,3(build),"nistrative Use Permit #ZP2024-0008 to construct two 1,747 square-foot three-story (35 feet) single-fa"
130,1048 Keith St,0,Entitled,,,,ONLY demolition figures — rejected,1(demo),Demo single family 1-story house over crawl sp
131,811 Cedar,0,Permitted,2,7.0,,construction phrase,2(build),Construction of new two-story mixed-use building 
132,1627 Jaynes St,0,Permitted,2,7.0,,construction phrase,2(build); 2(build),"xisting single-family residence to construct a new 2,250 square-foot, two-story [dwelling] at 1627 "
133,2128 Oxford St,485,Entitled,26,91.0,,construction phrase,26(build)," structure(s) (includes 16 rent-controlled units) and construction of 26-story, mixed-use building"
134,2480 Bancroft Way,28,Completed,8,28.0,,construction phrase,8(build); 1(build); 8(build),"Construction of new, 8-story, mixed-use building"
136,1951 Shattuck Ave,163,Completed,12,42.0,,construction phrase,12(build),"e 2:  Consists of levels 2-12 of new construction approx 179,680 GSF, 12 story residential buildin"
139,2538 DURANT Ave,83,Under Construction,8,28.0,,construction phrase,8(build); 8(unknown),ng. (Ref. #B2023-02332 New Construction) | The new construction of an 8-story building with (83) 
140,2136 SAN PABLO Ave,125,Entitled,6,21.0,,unqualified (no demolition nearby),6(unknown),6-story mixed-use with 125 
142,2350 TELEGRAPH Ave,48,In Review,8,28.0,,unqualified (no demolition nearby),8(unknown),8-story mixed-use with 48 u
143,2902 ADELINE St,54,Withdrawn,6,21.0,,construction phrase,6(build),Construction of new 6-story mixed-use multifami
147,2300 ELLSWORTH St,69,Under Construction,7,24.5,,construction phrase,7(build),ry power pole. See Permit #B2024-05944 for new mixed use structure. | 7-story with 69 units. Riaz
148,2018 BLAKE St,12,Permitted,6,21.0,,unqualified (no demolition nearby),6(unknown),6-story co-living with 12 u
149,2198 SAN PABLO Ave,100,Entitled,7,24.5,,unqualified (no demolition nearby),7(unknown),7-story mixed-use. Allrise 
150,3030 TELEGRAPH Ave,144,Completed,5,17.5,,construction phrase,5(build); 1(demo); 2(demo),"Construction of a 5-story, mixed-use building"
152,1598 UNIVERSITY Ave,207,Completed,8,28.0,,construction phrase,8(build),Phase 1: Footing and Foundation; Construction of a new 8-story mixed-use building 
153,1701 SAN PABLO Ave,110,Under Construction,6,21.0,,construction phrase,6(build),"New 6-story, 110-unit, publicly"
154,2001 ASHBY Ave,87,Completed,6,21.0,,construction phrase,6(build),"otovoltaic electric power system w/ (299) photovoltaic modules. | New six-story, 103,425 sq ft  mul"
158,1367 UNIVERSITY Ave,39,Completed,4,14.0,,construction phrase,4(build),"Construction of a 9665-SF, four story 39-unit congregate "
159,2403 SAN PABLO Ave,36,Under Construction,4,14.0,,unqualified (no demolition nearby),4(unknown),"Privately funded, 4-story, mixed use, (36) un"
161,2555 COLLEGE Ave,12,Completed,4,14.0,,construction phrase,4(build); 4(build),"Construction of a 9,815 SF, four story 11-unit + attached "
163,0 PARKER St,1,Permitted,1,3.5,,construction phrase,1(build),"Construct a one-story, 1,624-square-foot "
164,1752 SHATTUCK Ave,72,Completed,7,24.5,,unqualified (no demolition nearby),7(unknown),"72-unit, 7-story, mixed-use apartmen"
165,2200 BANCROFT Way,550,Under Construction,23,80.5,,unqualified (no demolition nearby),23(unknown),"Bancroft-Fulton Student Housing. 23 stories, 1,625 beds, 19,500"
170,1950 OXFORD St,772,Completed,14,49.0,,unqualified (no demolition nearby),14(unknown),14-story UC Berkeley student
171,2400 BOWDITCH St,750,Pre-Application,26,91.0,,unqualified (no demolition nearby),26(unknown); 14(unknown),Channing-Bowditch Student Housing (Anna Head site). 26 stories (+ 14-story wing). 
172,2650 TELEGRAPH Ave,45,Completed,5,17.5,,construction phrase,5(build); 5(build),Construction of new 5 story mixed use building 
173,2000 DWIGHT Way,113,Completed,6,21.0,,construction phrase,6(build); 6(build),Construction of new 6 story senior living facil
174,1773 OXFORD St,24,Completed,5,17.5,,construction phrase,5(build); 4(build); 5(build),New construction of 5-story residential apartme
176,2440 SHATTUCK Ave,40,Completed,8,28.0,,construction phrase,8(build); 8(build),Phase II for 8-story multi-family buildi
177,2556 HASTE St,556,Under Construction,12,42.0,,unqualified (no demolition nearby),12(unknown),"People's Park Student Housing. 12 stories, 1,113 beds, $312M."
178,2131 University Ave,205,Completed,6,21.0,,construction phrase,6(build),"Acheson historic rehab at 2131 University, 37 units), Building B (new 6-story at 2145 University,"
179,2352 Shattuck Ave,237,Completed,8,28.0,,construction phrase,8(unknown); 8(build); 5(build); 3(unknown); 7(build)," II - North Building. Building/Electrical/Mechanical/Plumbing permit. 8-story mixed use, 5 storie"
180,2065 Kittredge St,189,Entitled,5,17.5,,construction phrase,5(build); 3(build),New 189-unit multi-family apartment building; 5-story Type IIIA over 3-st
182,2072 Addison St,66,Completed,6,21.0,,construction phrase,6(build),6-0020 to demolish existing non-residential structure and construct a six-story mixed-use building 
183,2328 CHANNING Way,,Permitted,4,14.0,,construction phrase,4(build),Construct new (e)(3) 4 story apartment building 
187,1912 STUART St,1,Completed,2,7.0,,construction phrase,2(build); 2(build),"New 800 sq. ft. Detached ADU, 2 bed 2 Bath, 2 story. Fire Zone 1. (Sola"
200,2226 DWIGHT Way,2,Completed,1,3.5,,construction phrase,1(build); 1(build),"At rear yard, erect new 1-story detached building w"
202,1027 HEINZ,3,Completed,3,10.5,,construction phrase,3(build),d electrical service for existing duplex and future detached re | New three story single family house
208,469 Kentucky Ave,1,Completed,,,,ONLY demolition figures — rejected,3(demo); 3(demo); 3(demo),Demolish existing 3 story single family 4 bed
210,1429 Bancroft Way,1,Completed,2,7.0,,unqualified (no demolition nearby),2(unknown); 2(unknown),(N) detached two-story accessory dwelling 
212,1625 SEVENTH St,1,Completed,2,7.0,,unqualified (no demolition nearby),2(unknown); 2(unknown),"Convert and expand (E) 275 SF detached garage into 955 SF, 2 story ADU with office and"
213,2516 Mathews St,1,Completed,2,7.0,,unqualified (no demolition nearby),2(unknown); 2(unknown),"A 1,000 SF detached two story ADU will be built i"
215,2610 Warring St,1,Completed,2,7.0,,construction phrase,2(build); 2(demo),"New 2-story, 4-bedroom ADU. Gar"
226,1837 Berkeley Way,3,Completed,3,10.5,,construction phrase,3(build); 3(build),Construct 3 new townhouses. 3 stories each townhouse. Tot
227,3002 HARPER St,1,Completed,2,7.0,,construction phrase,2(build); 2(build),Construct new 874 sf two-story ADU in backyard of 
228,2527 SAN PABLO Ave,63,Completed,6,21.0,,construction phrase,6(build); 6(build),New 6 story mixed use with 63 r
234,1912 MONTEREY Ave,2,Completed,,,,ONLY demolition figures — rejected,1(demo); 1(demo),ition to (E) home to include new ADU. Remodel Existing first floor of 1 story residence. Add new 
244,2303 GRANT St,1,Completed,2,7.0,,construction phrase,2(build); 2(build),"Construct a new two bedroom, two story 978.5 sq. ft, 20’ t"
250,1128 Parker St,1,Completed,,,,ONLY demolition figures — rejected,2(demo); 2(demo); 2(demo); 2(demo),Rear addition and alteration on an existing 2 story residence. (108sf 2
251,1221 Carrison St,1,Completed,2,7.0,,construction phrase,2(build); 2(build),"New ADU: 2 story, 812 SF, 2bd/3bath."
259,1724 La Vereda Rd,1,Completed,3,10.5,,construction phrase,3(build); 3(build),Legalize unpermitted addition and conversion of basement level of 3-story building to ADU.  P
262,766 Vincente Ave,1,Completed,,,,ONLY demolition figures — rejected,1(demo); 1(demo),Conversion and extension of an existing 198 sf one-story garage located at t
276,1709 Francisco St,1,Completed,2,7.0,,unqualified (no demolition nearby),2(unknown); 2(unknown),Detached  556 sf 2 story ADU and Storage roo
277,1325 ALCATRAZ,1,Completed,2,7.0,,construction phrase,2(build); 2(build),New 1140 SF 2-story ADU | New 1140 SF 2
282,2144 RUSSELL St,1,Completed,,,,ONLY demolition figures — rejected,2(demo); 2(demo),Create new 868 sf attached adu at the lower floor of the existing 2 story single family dwell
283,3037 ELLIS St,1,Completed,2,7.0,,construction phrase,2(build); 2(build),New 2-story detached ADU | New 
299,2737 DURANT Ave,4,Completed,3,10.5,,construction phrase,3(build); 3(build),"New 3-story, 4 unit apartment b"
321,2619 COLLEGE AVE,2,Completed,2,7.0,,construction phrase,2(build); 2(build),"Proposed new construction of a 1,998 square feet detached two story building which cont"
349,1446 FIFTH St,1,Completed,3,10.5,,construction phrase,3(build); 3(build); 3(build),"New three story house (Unit C), 179"
353,2410 SACRAMENTO St,1,Completed,2,7.0,,construction phrase,2(build); 2(build),New 2 story ADU | New 2 story A
363,680 PERALTA Ave,1,Completed,1,3.5,,construction phrase,1(unknown); 1(build),"loor, 2nd floor addition & new deck; new MEP; re | Raise and relocate 1-story single-family resid"
365,2227 CARLETON St,2,Completed,2,7.0,,construction phrase,2(build); 2(build),New Detached 2 Story ADUs (total 2000SF)
376,1438 Fifth St,1,Completed,3,10.5,,construction phrase,3(build); 3(build),"New single family detached house. Three stories, wood construction "
380,2023 Shattuck Ave,48,Completed,7,24.5,,construction phrase,7(build); 7(build),New mixed-use 7-story building including 
387,1346 Haskell St,1,Completed,1,3.5,,construction phrase,1(build); 1(build),Construct (N) 423sf one-story detached ADU in rea
400,2718 Durant Ave,2,Completed,3,10.5,,construction phrase,3(build); 3(build),two (E) single-family houses and adding 2 new units below to create a 3-story b | Addition to exi
403,2028 Bancroft Way,37,Completed,6,21.0,,construction phrase,6(build); 6(demo),"(N) 37 unit, 6 story apartment building "
404,2590 Bancroft Way,87,Completed,8,28.0,,construction phrase,8(build); 8(build),Construction of new 8 story mixed-use Type I-A 
414,2350 Prospect St,1,Completed,3,10.5,,construction phrase,3(build),Convert existing garage into an ADU. | New 3-Story group living accomm
416,2523 Piedmont Ave,1,Completed,2,7.0,,construction phrase,2(build); 2(build),New 1190 SF two story detached accessory 
427,2422 Fifth St,2,Completed,3,10.5,,construction phrase,3(build); 3(build),New construction of a 3-story building consisting
428,1717 University Ave,15,Completed,5,17.5,,construction phrase,5(build); 5(build),New 5-story mixed-use building 
445,1434 Fifth St,2,Completed,3,10.5,,construction phrase,3(build); 3(build),"New wood construction, three story single family house"
457,1901 Chestnut St,1,Completed,2,7.0,,construction phrase,2(build); 2(build),Addition of a two-story ADU in the back of 
460,2605 Ashby Ave,1,Completed,,,,ONLY demolition figures — rejected,3(demo); 3(demo),ingle-story 693 SF detached ADU (1BED/1BA) in the rear of an existing three-story single family resid
462,3129 Lewiston Ave,1,Completed,2,7.0,,construction phrase,2(build); 2(demo),New 948sf 2 story addition attached t
465,739 Channing Way,4,Completed,3,10.5,,construction phrase,3(build); 3(build),"Building B: 3 story, 4 Unit Apartment B"
466,2067 University Ave,50,Completed,7,24.5,,construction phrase,7(build); 7(build),"New 7-story, 29,968 sq.ft. mixe"
467,2100 San Pablo Ave,96,Completed,4,14.0,,construction phrase,4(build); 4(build),New  4-story mixed-use building 
490,2634 Piedmont Ave,1,Completed,1,3.5,,construction phrase,1(build); 1(build),New 750 SQ Ft one story ADU - Refer to B201
493,1737 Tenth St,1,Completed,2,7.0,,construction phrase,2(build); 2(build),New 1344 sq. ft. two-story single family dwell
511,812 Page St,1,Completed,3,10.5,,construction phrase,3(build); 3(build),wner pulled Elec Permit for Temp power pole Construct new 1487 SQ Ft  3-story house. Address to b
512,2411 Fifth St,2,Completed,3,10.5,,construction phrase,3(build); 3(build),"Construct new 3,348 sq.ft. 3-story duplex.  8/9/17 - P"
552,3046 Telegraph,2,Completed,,,,ONLY demolition figures — rejected,2(demo),72) Construct a new ground floor unit (Unit #2) below lifted existing 2-story house.  The new uni
563,1406 Fairview,2,Completed,2,7.0,,unqualified (no demolition nearby),2(unknown); 2(unknown),"Convert first floor flat into an 800sqft ADU. Improve one 1/2 stories above, including ad"
570,1310 Haskell St,1,Completed,2,7.0,,construction phrase,2(build); 2(build),"New 1,979 SqFt two-story single family resid"
577,2026 Francisco,1,Completed,2,7.0,,construction phrase,2(build); 2(build),Construct a new 2 story structure at rear o
604,1157 Virginia St,1,Completed,2,7.0,,construction phrase,2(build); 2(build),"New construction of two-story sfr 1534 sf, reside"
644,2436 Bonar,1,Completed,1,3.5,,construction phrase,1(build); 1(build),Construct new one-story 646 sq ft ADU in pl
652,1608 Eighth,1,Completed,1,3.5,,construction phrase,1(build); 1(build),New one story detached accessory 
661,2524 Dwight,1,Completed,2,7.0,,construction phrase,2(build); 2(build),New two-story mini-dorm residenti
669,1331 Sixty-Seventh,1,Completed,1,3.5,,construction phrase,1(build); 1(build),(N) ADU ADDITION REAR OF (E) HOUSE 1-STORY 600SF. | (N) ADU AD
699,2215 Acton,1,Completed,2,7.0,,construction phrase,2(build); 2(build),Construct new 2 story 651sf ADU | Constru
727,1015 Mariposa,1,Completed,1,3.5,,construction phrase,1(unknown); 1(build),x 425sf. **Add Electrical to upgrade the main service panel to  | (N) One story detached Accessory 
752,1626 Tenth,1,Completed,2,7.0,,construction phrase,2(build); 2(build),"New two-story 1,599sqft dwelling "
753,1640 Ninth,1,Completed,2,7.0,,construction phrase,2(build); 2(build),"New 2 story wood frame, single "
763,1536 Dwight,1,Completed,2,7.0,,construction phrase,2(build); 2(build),"Construct new 1-bed, 1-bath 594SF SADU in backyard of (e) 2-bed 2-story single family resid"
769,0 Queens,1,Completed,3,10.5,,unqualified (no demolition nearby),3(unknown); 3(unknown),(N) 3-story residential home 38
778,2915 Harper,1,Completed,1,3.5,,construction phrase,1(build); 2(demo),"f new Accessory Dwelling Unit. Change address from 2915 Harper  | New one-story building, detached "
805,1325 Grizzly Peak,1,Completed,2,7.0,,construction phrase,2(build); 2(build),"Construct two-story 2,563 sq. ft. singl"
806,3108 DEAKIN,1,Completed,,,,ONLY demolition figures — rejected,2(demo); 2(demo),"Alter and enlarge an existing 2,894 sq ft, two story, single family dwel"
809,2321 CALIFORNIA,1,Completed,1,3.5,,construction phrase,1(build); 2(demo); 1(build); 2(demo),"One new one-story building, detached "
823,1428 CORNELL,1,Completed,2,7.0,,construction phrase,2(build); 2(build),New 1200 S.F. two story detached Accessory 
833,2870 WEBSTER,1,Completed,2,7.0,,construction phrase,2(unknown); 2(build),"(n) gas fireplace in (e) wood burning, adde sky | Interior remodel of 2 story house, including ki"
854,1632 STUART,1,Completed,1,3.5,,construction phrase,1(build); 1(build),"Construction of new 1156SF, 3bedroom, one story residence. (Solar P"
855,8 MAYBECK TWIN,1,Completed,3,10.5,,construction phrase,3(build); 3(build),Construct 4176 3-story house | Construct 4
856,1441 GRIZZLY PEAK,1,Completed,2,7.0,,construction phrase,2(build); 2(build),Construct 3270sqft two-story residence over 880 
890,2539 TELEGRAPH Ave,70,Completed,6,21.0,,construction phrase,6(build); 6(build),"New 69,667 sq.ft.  6-story 70' tall, mixed use"
894,2631 DURANT Ave,56,Completed,5,17.5,,construction phrase,5(build); 5(build),"New 5 story, 30,890 Sq. ft., 56"
895,1500 SAN PABLO Ave,159,Completed,5,17.5,,construction phrase,5(build); 5(build),"New 5-story plus basement, mixe"
896,2580 BANCROFT Way,117,Completed,8,28.0,,construction phrase,8(build); 8(build),Phase II: Build out for a new 8 story 117 dwelling unit m
897,2628 SHATTUCK Ave,78,Completed,6,21.0,,construction phrase,6(build); 6(build),se II:  Architectural and Structural Superstructure for new mixed use 6-story building including 
899,2035 BLAKE St,82,Completed,5,17.5,,construction phrase,5(build); 5(build),New Construction 5-story (82) residential un
900,2145 UNIVERSITY AVE,35,Completed,6,21.0,,construction phrase,6(build); 6(build),"ACHESON BLDG B: NEW 6 STORY, 32,673 SFT. BUILDI"
902,2111 UNIVERSITY AVE,68,Completed,6,21.0,,construction phrase,6(build); 6(build),"ACHESON BLDG D: NEW 6 STORY 67,558 SFT  BUILDIN"
904,1601 OXFORD St,37,Completed,5,17.5,,construction phrase,5(build); 4(build); 1(build); 5(build); 4(build); 1(build),"New 5 story building, 4 Stories"
905,2340 FIFTH St,14,Completed,3,10.5,,construction phrase,3(build); 3(build),"Building A: 3 story, 6 Unit Apartment B"
