OBJECTID,APN,calculated_far_First,far_ratios,Shape__Area,Shape__Length
73,61-2602-33-1,0.71,0.71,544.178955078125,93.81998114370352
74,61-2603-4,1.41,1.41,932.613525390625,120.29929507865275
75,59-2262-21-3,0.0,0,448.55859375,93.75513137798964
78,59-2262-21-2,0.48,0.48,7861.7353515625,384.37425859046823
83,59-2262-6,0.64,0.64,388.928466796875,94.46001134151568
84,59-2263-24-1,0.0,0,1625.19970703125,207.20670621493548
85,59-2262-1,2.11,2.11,822.818115234375,140.69454589454787
86,59-2263-10-1,0.44,0.44,7898.399169921875,366.6320427239254
87,59-2262-5,0.21,0.21,1111.221435546875,134.07298304902082
88,59-2263-3-1,0.8,0.8,1437.670166015625,152.3571701441299
89,59-2263-6-1,0.89,0.89,1187.65087890625,140.16917483600753
91,59-2263-9,2.0,2,406.106689453125,103.61856850301481
92,58-2173-7-1,0.66,0.66,451.7255859375,95.85498337243874
93,58-2173-2-3,1.26,1.26,2152.158203125,198.72720604136688
94,58-2174-9,0.0,0,438.868896484375,104.02893772189461
95,58-2173-6,0.3,0.3,518.949462890625,109.35994385066464
96,58-2174-1,0.0,0,365.506103515625,83.2297769401457
97,58-2173-4,1.43,1.43,156.683349609375,50.57527053777
98,58-2174-2,0.97,0.97,304.63427734375,79.05849172002215
99,58-2174-6-2,0.71,0.71,1422.173828125,153.950217633031
100,58-2174-3,1.08,1.08,259.447998046875,75.55516948109377
101,58-2176-28,0.33,0.33,398.156005859375,83.96552468068387
102,58-2174-4-1,1.4,1.4,317.3603515625,79.40274552029477
103,58-2173-5,0.46,0.46,389.73388671875,86.83921085032149
104,58-2175-1-1,1.0,1,1088.88623046875,134.93735207864447
105,58-2175-7,0.52,0.52,665.49267578125,116.16387680564563
106,58-2175-3,0.57,0.57,545.424072265625,106.51974517176225
107,58-2175-4,0.31,0.31,187.9140625,56.413285505910224
108,58-2176-3-1,1.68,1.68,1789.9296875,170.63603163471038
109,58-2175-5,0.68,0.68,263.803955078125,65.0417112586151
110,58-2176-1-1,0.12,0.12,916.40283203125,129.43696012568859
111,59-2261-1-2,0.42,0.42,3253.60888671875,286.3844804405935
112,58-2175-6,1.02,1.02,239.102294921875,61.929791021877364
113,59-2260-1,1.15,1.15,805.818359375,113.81733944527343
114,57-2050-31-1,2.06,2.06,2187.184326171875,199.75629547778578
115,59-2261-10,0.73,0.73,610.598876953125,100.06213586395889
116,59-2261-9,0.85,0.85,329.80859375,80.37491704804597
117,59-2261-8,0.78,0.78,314.214599609375,79.10102685489947
118,59-2261-7,0.92,0.92,681.729736328125,105.03274909903452
119,59-2260-22-2,0.75,0.75,876.822509765625,122.18622981497487
120,59-2260-22-1,0.0,0,322.644287109375,92.71242777952774
121,59-2260-21,1.1,1.1,351.7958984375,94.30271498999889
122,57-2050-5,0.18,0.18,602.63671875,98.44506934827295
123,59-2260-20-3,0.89,0.89,777.146728515625,116.8552876904988
124,59-2260-19,0.7,0.7,708.24609375,115.0932996882575
125,59-2260-18,1.62,1.62,681.503173828125,111.64207011704585
126,59-2260-15-2,0.44,0.44,442.045166015625,87.85965831521871
127,59-2260-17,0.7,0.7,502.29638671875,102.3870288201668
128,59-2260-15-1,0.58,0.58,359.007080078125,82.75179327214977
129,59-2260-16,1.27,1.27,533.16015625,103.69149882148068
130,59-2261-6,1.19,1.19,473.157470703125,96.98531116626316
131,58-2178-24-1,0.47,0.47,2772.767822265625,227.60538909027758
132,58-2178-23,0.33,0.33,537.6357421875,101.46218786607005
133,Multiple Values,Multiple Values,,1121.87646484375,134.23447039735805
135,59-2260-2-1,1.57,1.57,1934.3291015625,183.06731042122254
136,58-2178-18,0.83,0.83,2109.796630859375,189.16797308318309
137,59-2261-5,0.3,0.3,386.08056640625,91.9957084691218
138,59-2260-14,0.69,0.69,470.46826171875,89.42871543142223
139,58-2177-1,1.55,1.55,3419.6083984375,259.82874520097255
140,59-2261-4-3,1.63,1.63,407.517333984375,93.28813954570221
141,58-2177-18-1,1.81,1.81,1161.114501953125,136.86198355989913
142,58-2177-15-1,3.27,3.27,1815.26123046875,195.21058231097584
143,Multiple Values,Multiple Values,,590.44873046875,111.54799722029337
144,57-2049-40,2.83,2.83,1108.5341796875,135.79493137965943
145,57-2049-10,0.88,0.88,602.43212890625,111.9574056681334
152,60-2455-67,0.35,0.35,976.019287109375,130.22437820865645
155,55-1846-8,1.28,1.28,736.989990234375,127.97700696862468
156,55-1846-9-1,1.93,1.93,2203.80859375,188.0412611306902
157,55-1846-12,0.44,0.44,768.9912109375,130.12481160897138
159,55-1846-14-1,1.66,1.66,1278.013427734375,158.2761751645571
160,55-1846-15-1,1.72,1.72,1594.946533203125,163.9681769858111
162,55-1846-17,0.75,0.75,684.30908203125,127.00659057244224
163,55-1845-17,0.53,0.53,345.697021484375,79.83204127699011
164,55-1845-15-2,0.56,0.56,2338.19482421875,268.8967371987999
165,55-1845-8,0.45,0.45,707.939697265625,126.17141487574754
166,55-1845-10,0.9,0.9,958.55419921875,152.85859384896224
167,Multiple Values,Multiple Values,,958.37255859375,161.1029222961612
168,55-1845-9,0.26,0.26,980.498779296875,137.3281237654499
169,54-1709-3,0.74,0.74,475.08251953125,92.1967563613444
170,55-1845-6,0.8,0.8,277.188232421875,70.67087933022505
171,55-1846-18,0.5,0.5,373.4833984375,78.17563738986688
172,55-1845-11,0.79,0.79,404.22998046875,94.23375410482983
173,55-1845-14,0.85,0.85,378.575927734375,91.36162375797336
174,54-1709-16,0.66,0.66,392.275390625,84.64866161111655
175,55-1845-12,0.76,0.76,222.731201171875,70.38950077415942
176,Multiple Values,Multiple Values,,284.09033203125,71.22726892997156
177,55-1845-15-1,0.45,0.45,565.49755859375,103.37894396938304
178,55-1845-16,0.98,0.98,433.252685546875,96.17994071840036
179,54-1709-6,0.9,0.9,721.922607421875,122.18761015183571
180,Multiple Values,Multiple Values,,687.53271484375,120.70265280980203
181,Multiple Values,Multiple Values,,265.738525390625,65.67380120357531
182,54-1709-8,0.58,0.58,678.556884765625,120.36672590056557
183,54-1709-9,0.53,0.53,694.11669921875,121.16949732618389
184,54-1709-10,0.74,0.74,687.853271484375,121.17933758195733
185,54-1709-4,0.48,0.48,467.17578125,90.58018744676748
186,Multiple Values,Multiple Values,,719.600830078125,122.85632455602213
187,54-1709-5,0.56,0.56,431.777587890625,88.32220837340557
188,54-1709-12,0.39,0.39,690.065673828125,121.46330390750232
189,54-1709-15,0.61,0.61,392.0830078125,84.58860233869922
190,54-1709-13,1.8,1.8,730.479248046875,122.56127066771523
191,53-1695-14,0.46,0.46,425.859375,89.61963503941763
192,Multiple Values,Multiple Values,,687.609130859375,120.72240636829764
193,53-1695-6,0.4,0.4,695.94580078125,120.80932675466566
194,52-1573-14,0.57,0.57,672.864990234375,106.58192760472222
195,53-1695-7,0.9,0.9,703.216064453125,120.70433501172852
196,52-1568-12-1,0.94,0.94,1353.6015625,150.85656548150325
197,52-1568-8-1,0.0,0,263.35546875,69.43010536117238
198,Multiple Values,Multiple Values,,654.62109375,118.41453431258067
199,52-1568-3,0.0,0,1006.966552734375,129.0692515209466
200,53-1695-9-1,0.6,0.6,703.371826171875,120.68523013184041
201,52-1568-5-1,0.0,0,331.999267578125,101.09991873978255
202,53-1695-9-2,0.48,0.48,651.75634765625,118.37936668115717
203,55-1847-20,0.14,0.14,389.184814453125,80.89449302558488
204,52-1568-6-1,0.0,0,603.11328125,151.09385827592232
205,53-1695-4,0.59,0.59,384.833251953125,82.37099823278602
206,53-1695-10,1.13,1.13,730.0224609375,122.21240815790134
207,54-1709-14,0.74,0.74,514.648681640625,93.18569764527649
208,55-1847-28,1.05,1.05,685.969482421875,117.4605967620283
209,53-1695-13,0.95,0.95,353.011474609375,75.01337435267017
210,55-1847-27,0.46,0.46,499.250244140625,106.48753498139753
211,Multiple Values,Multiple Values,,485.514404296875,105.19240115708958
212,55-1847-25,0.53,0.53,553.305419921875,108.40702502185609
213,55-1847-24,0.55,0.55,501.91650390625,105.90364563644074
214,52-1573-15,1.06,1.06,228.509521484375,79.06765573249217
215,53-1695-11,0.61,0.61,337.835693359375,83.92453237661438
216,55-1847-21-1,1.72,1.72,1318.15869140625,146.1853587347469
217,52-1568-7,0.0,0,78.965576171875,86.89752482214112
218,52-1568-4-1,0.0,0,116.87744140625,72.68805223277609
219,52-1568-9,0.38,0.38,559.940673828125,121.06840349150174
220,55-1847-19,0.52,0.52,326.8642578125,75.68075728586318
221,55-1847-31-2,0.67,0.67,3860.44580078125,296.5853154660028
222,55-1848-17,1.05,1.05,362.242919921875,78.66246544775574
223,55-1848-26,0.42,0.42,701.486572265625,116.26774650928223
224,53-1695-12-1,0.0,0,32.8076171875,30.17196525082997
225,53-1695-12-2,1.78,1.78,178.227294921875,53.63781721674254
226,Multiple Values,Multiple Values,,516.030517578125,95.54962446207438
227,Multiple Values,Multiple Values,,1762.48486328125,183.23244076389585
228,55-1848-25,1.02,1.02,787.83056640625,120.15960873793222
229,55-1848-24,0.44,0.44,487.6513671875,105.49988439481726
230,52-1568-5-2,0.94,0.94,441.313720703125,94.62028916382596
231,Multiple Values,Multiple Values,,508.099365234375,97.77424433330002
232,55-1848-23,0.5,0.5,500.8544921875,106.62607296797991
233,52-1568-6-2,0.88,0.88,495.52880859375,95.26620485544858
234,Multiple Values,Multiple Values,,501.921875,106.68546532002014
236,Multiple Values,Multiple Values,,667.024658203125,117.31097342832169
237,55-1848-21,0.5,0.5,501.45068359375,106.54695239137932
238,55-1848-20,1.13,1.13,502.271240234375,106.68409614567035
239,55-1847-18,0.56,0.56,287.861083984375,72.53371495850605
240,55-1848-19,0.58,0.58,511.5849609375,107.26164409283915
241,Multiple Values,Multiple Values,,510.366455078125,96.6724842402867
242,52-1568-11-1,1.95,1.95,699.467041015625,107.65702510623181
243,55-1848-18,0.53,0.53,482.249755859375,105.68021269618013
244,52-1573-2,0.82,0.82,540.07177734375,98.06469035227448
245,54-1708-17,2.19,2.19,569.519287109375,100.69857951941322
246,54-1708-15,0.46,0.46,476.017578125,92.15451962458295
247,54-1708-16,0.8,0.8,477.443603515625,95.1258214951499
248,55-1848-16,0.61,0.61,328.3974609375,76.01240308061509
249,54-1708-14,0.57,0.57,479.993896484375,92.65982631051125
250,52-1562-3,0.81,0.81,418.34326171875,96.18352408407947
251,52-1573-4-1,0.73,0.73,553.159912109375,110.51551082149282
252,52-1562-4,0.37,0.37,519.785888671875,101.55185974725828
253,52-1562-5,0.62,0.62,366.533935546875,92.80013947859301
254,53-1699-17,1.22,1.22,197.927978515625,56.31778187669387
255,52-1562-6,0.42,0.42,459.85693359375,98.1887304425478
256,52-1562-7,0.46,0.46,425.96044921875,96.42953225051993
257,53-1699-16,0.97,0.97,279.243896484375,68.08526819322142
258,52-1562-8,0.5,0.5,453.4033203125,97.86595037000231
259,52-1410-18,0.76,0.76,395.867919921875,95.1831128396435
260,Multiple Values,Multiple Values,,460.237548828125,98.54972215462146
261,52-1573-6,0.94,0.94,277.89501953125,66.81030020655041
262,53-1699-19,0.61,0.61,571.075439453125,98.82790363172808
263,52-1562-10,0.64,0.64,446.74755859375,97.86942553373427
264,52-1562-11,0.49,0.49,455.27685546875,98.54544855774165
265,53-1699-18,0.83,0.83,544.01806640625,97.22176322576138
266,52-1562-12,0.62,0.62,444.339111328125,98.1938720184323
267,55-1848-15,0.61,0.61,325.791015625,75.90993177475785
268,52-1562-13,0.43,0.43,438.859130859375,97.83335019062571
269,52-1562-14,0.43,0.43,455.08740234375,98.20651582464907
270,Multiple Values,Multiple Values,,444.120849609375,97.50938109953655
271,52-1562-16,0.49,0.49,461.133544921875,99.03622298133331
272,52-1562-17,0.69,0.69,455.85546875,99.50934415144506
273,52-1562-18,0.67,0.67,426.582275390625,97.84707357196679
274,53-1696-1,1.26,1.26,678.73291015625,105.35901635141178
275,52-1562-20,0.52,0.52,363.917236328125,83.54079897496833
276,53-1699-15,0.62,0.62,509.61767578125,98.97747314873605
277,52-1410-20-1,0.88,0.88,1346.947021484375,149.35556926306376
279,53-1696-19,0.38,0.38,567.524658203125,104.68781326554908
280,53-1696-18,0.43,0.43,580.275634765625,105.38580094734662
281,53-1696-20,0.26,0.26,508.7421875,109.73038973756879
282,52-1410-22-1,0.68,0.68,646.23974609375,114.71932660284962
284,53-1696-17,1.06,1.06,520.566650390625,102.04376261881941
286,53-1696-16,0.4,0.4,640.188720703125,108.56098886092605
287,52-1410-2,1.27,1.27,845.30126953125,116.62787562909173
288,52-1410-24,0.22,0.22,598.734619140625,108.10553255361765
289,52-1410-26,1.21,1.21,582.746337890625,106.91002215917561
290,53-1696-15,0.5,0.5,1335.194091796875,146.11318631395005
291,52-1410-28,0.87,0.87,571.917236328125,105.96126718160782
292,Multiple Values,Multiple Values,,354.52978515625,82.8561097314984
293,52-1410-30,0.45,0.45,587.156494140625,106.53523963184733
294,52-1410-32,0.52,0.52,608.99609375,108.74539952503284
295,52-1567-24-1,0.89,0.89,663.34716796875,107.62211106547375
296,52-1567-23,0.48,0.48,726.669189453125,112.50419653360927
297,52-1410-34,0.63,0.63,535.80078125,104.29870170048846
298,52-1567-22,0.62,0.62,454.9658203125,97.49504129339672
299,52-1410-36,0.5,0.5,596.24462890625,107.1112295472785
300,52-1410-12,0.36,0.36,601.805419921875,106.34055322479017
301,52-1567-21,0.81,0.81,538.856689453125,102.19766111479956
303,52-1567-20,0.48,0.48,626.306640625,107.03741384241256
304,52-1567-68,1.09,1.09,475.552734375,87.23198975285568
305,52-1567-19,0.58,0.58,477.187744140625,98.73608898437531
306,Multiple Values,Multiple Values,,496.875244140625,98.80076724171536
307,52-1567-18,0.76,0.76,747.35693359375,112.57157014786489
308,52-1410-14-2,0.47,0.47,682.135986328125,108.01281285289713
309,52-1567-17,1.16,1.16,481.39453125,97.55895745915225
310,54-1707-10-1,0.45,0.45,6984.00048828125,348.25227280731895
311,52-1410-16-1,0.73,0.73,1338.8642578125,148.52810367190736
312,52-1409-1-1,1.16,1.16,815.151611328125,115.55445918760064
313,52-1567-66,0.57,0.57,381.620361328125,92.51165037061816
314,52-1567-67,0.63,0.63,530.508544921875,102.18617447880169
315,52-1564-36,1.11,1.11,260.552978515625,65.44780545673882
316,52-1409-3,1.35,1.35,379.805908203125,88.61101493744744
317,52-1567-63-2,0.66,0.66,382.177001953125,97.70626643222343
318,Multiple Values,Multiple Values,,720.609375,111.32643014950378
319,52-1567-64-2,0.64,0.64,565.63671875,104.61460331198775
320,52-1567-62-6,0.5,0.5,869.881591796875,127.2631647527223
321,52-1564-92,0.77,0.77,414.869384765625,81.93750665451329
323,52-1564-35,1.13,1.13,724.695556640625,113.02762771643486
324,Multiple Values,Multiple Values,,350.374755859375,81.64854425822575
325,52-1564-34,0.46,0.46,572.231201171875,104.57876571028581
326,52-1567-26-1,0.52,0.52,889.2861328125,126.52623384040791
327,Multiple Values,Multiple Values,,540.77392578125,102.77447717992703
328,52-1563-35,0.78,0.78,364.284423828125,82.94725714832511
329,52-1563-34,0.67,0.67,348.438720703125,81.8450542928189
330,52-1563-33,0.56,0.56,311.92529296875,79.23441639319252
331,52-1564-37,0.83,0.83,242.60546875,62.94276349259856
332,52-1567-16,0.0,0,534.196533203125,91.20294454536135
333,52-1563-32,0.73,0.73,392.033447265625,94.54207207410215
334,52-1563-31,0.43,0.43,478.48486328125,98.49584356727607
335,52-1563-29,0.62,0.62,354.225830078125,82.22278111585982
336,52-1564-31,0.54,0.54,259.7802734375,65.03792061069616
337,52-1563-63,0.66,0.66,539.34375,102.50597273820365
338,52-1563-97,0.37,0.37,440.843994140625,97.07589408084831
339,52-1563-96,0.46,0.46,418.16748046875,95.87803630375909
340,52-1567-62-12,0.0,0,630.914306640625,112.31924795031485
341,Multiple Values,Multiple Values,,701.951416015625,111.47906892800427
342,Multiple Values,Multiple Values,,717.6875,112.7339125402504
343,52-1563-36,0.28,0.28,339.56884765625,94.37260402581487
344,Multiple Values,Multiple Values,,541.580810546875,103.02514633188167
345,52-1563-92,0.86,0.86,562.5029296875,103.9019073625524
346,52-1563-28,0.62,0.62,337.686279296875,81.2141834534416
347,52-1563-91,0.44,0.44,566.2158203125,104.00900553220934
348,52-1563-90,0.73,0.73,572.375732421875,104.25100936137008
349,52-1563-89,0.8,0.8,1136.887939453125,135.22233696644585
350,52-1563-83,1.29,1.29,262.162109375,64.7666082947566
351,52-1563-82,2.11,2.11,346.386962890625,76.12985902830981
352,52-1563-88,0.63,0.63,550.90283203125,103.25684187023799
353,52-1563-87,0.52,0.52,442.21923828125,97.32475717053671
354,52-1563-86,0.56,0.56,450.972412109375,97.91238123028837
355,52-1563-85,0.53,0.53,436.797607421875,96.71463651770975
356,52-1563-84,0.77,0.77,460.904296875,97.96299316781676
357,52-1563-176-2,1.64,1.64,433.369140625,86.04146577559273
358,52-1563-188,0.74,0.74,487.323486328125,104.57430679573125
359,52-1563-81,0.82,0.82,560.83349609375,100.66116472276161
360,52-1563-177-1,1.43,1.43,300.115966796875,74.62530852676542
361,60-2455-48-1,1.71,1.71,1422.92822265625,151.09341579156174
362,60-2455-64-1,1.50,1.5,1502.651123046875,155.52752245789617
