id,project_id,permit_number,permit_type,address,status,filed_date,finaled_date,job_value,description,owner,applicant,source,imported_at,source_file
68,,B2025-00820,,"2217 PARKER St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
69,,B2025-00743,,"1345 PARKER St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
70,,B2025-05891,,"34 ROCK Ln",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
71,,B2025-05682,,"1037 CEDAR St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
72,,B2025-00145,,"1616 CEDAR St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
73,,B2025-04535,,"1600 MILVIA St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
74,,B2025-04071,,"1619 WALNUT St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
75,,B2025-00165,,"1320 DERBY St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
76,,B2025-03285,,"2740 PRINCE St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
77,,B2025-03021,,"1626 PRINCE St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
78,,B2025-04651,,"1314 PARKER St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
79,,B2025-01504,,"1331 CARLETON St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
80,,B2025-05502,,"2336 DWIGHT Way",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
81,,B2025-04153,,"2338 DWIGHT Way",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
82,,B2025-02280,,"1225 DWIGHT Way",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
83,,B2025-05928,,"819 SHATTUCK Ave",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
84,,B2025-05684,,"1809 MILVIA St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
85,,B2025-05109,,"1232 MILVIA St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
86,,B2025-04925,,"2033 HASTE St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
87,,B2025-05769,,"2435 SAN PABLO Ave",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
88,,B2025-05647,,"2201 BLAKE St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
89,,B2025-05146,,"2336 BLAKE St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
90,,B2025-01031,,"1634 BLAKE St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
91,,B2025-04024,,"1139 OXFORD St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
92,,B2025-02740,,"1650 OXFORD St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
93,,B2025-01930,,"1110 OXFORD St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
94,,B2025-05834,,"1117 CHANNING Way",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
95,,B2025-01272,,"1609 DERBY St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
96,,B2025-00723,,"2673 DERBY St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
97,,B2025-04877,,"1291 ROSE St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
98,,B2025-02286,,"1913 ROSE St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
99,,B2025-04949,,"2309 PRINCE St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
100,,B2025-04992,,"1260 BANCROFT Way",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
101,,B2025-01253,,"1117 PARKER St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
102,,B2025-01432,,"1411 WARD St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
103,,B2025-00541,,"1225 WARD St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
104,,B2025-00880,,"1360 CALIFORNIA St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
105,,B2025-04746,,"928 CARLETON St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
106,,B2025-05689,,"1821 WARD St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
107,,B2025-03595,,"2449 DWIGHT Way",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
108,,B2025-05906,,"3035 COLBY St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
109,,B2025-05923,,"1311 DERBY St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
110,,B2025-04241,,"1627 JAYNES St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
111,,B2025-05900,,"1745 CEDAR St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
112,,B2025-04761,,"2442 HASTE St",,,,,"Demolish apartment building",,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
113,,B2025-05316,,"2298 DURANT Ave",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
114,,B2025-04856,,"2529 TELEGRAPH Ave",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
115,,B2025-00386,,"2310 ELLSWORTH St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
116,,B2025-00387,,"2306 ELLSWORTH St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
117,,B2025-00388,,"2300 ELLSWORTH St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
118,,B2025-05621,,"1740 SAN PABLO Ave",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
119,,B2025-05622,,"1740 SAN PABLO Ave",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
120,,B2025-01388,,"1331 CARLETON St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
121,,B2025-00803,,"1345 PARKER St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
