Record #,Address,Type,Description,Status,Date (Applied/Opened),Density Flag
B2012-01284,"2635 BENVENUE AVE, BERKELEY CA 94703",Mechanical Permit,** INSTALL NEW DUCTWORK.,Closed Expired,04/09/2012,
25TMP-029184,"2636 BENVENUE Ave, BERKELEY CA 94704",,,,09/22/2025,
B2018-02551,"2636 BENVENUE Ave, BERKELEY CA 94704",Building Permit,Remove existing comp and install 17 squares of new comp.,Finaled,06/28/2018,
B2022-02775,"2639 BENVENUE Ave, BERKELEY CA 94704",Building Permit,Interior renovation of lower dwelling unit. Install shower pan. No exterior changes [EMP's added 1/18/2022],Finaled,06/16/2022,
B2012-01283,"2639 BENVENUE AVE, BERKELEY CA 94704",Building Permit,"** INSTALL ATTIC, WALL & FLOOR INSULATION.",Closed Expired,04/09/2012,
B2005-04564,"2639 BENVENUE AVE, BERKELEY CA 94704",Mechanical Permit,REMOVE & REPLACE CENTRAL AIR FURNACE,Closed Expired,10/25/2005,
B2025-02535,"2640 BENVENUE Ave, BERKELEY CA 94704",Mechanical Permit,Remove existing furnace in the crawl space & install Hydro Furnace in same location.,Finaled,06/23/2025,
B2022-01140,"2643 BENVENUE Ave, BERKELEY CA 94704",Building Permit,Tear off all way to wood and installing safeguard underlayment and 30year shingles,Finaled,03/15/2022,
B2018-00454-REV01,"2643 BENVENUE Ave, BERKELEY CA 94704",Building Revision for B2018-00454,"Foundation cap, repair framing in-kind current valuation 8,000 to 14,000.",Issued,05/16/2018,
B2018-00454,"2643 BENVENUE Ave, BERKELEY CA 94704",Building Electrical Permit,"Balcony Repair. 5/17/18: Revision: Foundation cap, replace damage framing for balcony w/electrical work. Valuation increase $6000 to existing. New project valuation is $14,000.",Finaled,02/01/2018,
B1999-04511,"2643 BENVENUE AVE, BERKELEY CA 94704",Building Permit,"TERMITE REPAIR - CIRCLED ITEMS 1A,11A, 11B AND 11C OF ATTACHED REPORT",Closed Expired,10/01/1999,
B2023-05482,"2644 BENVENUE Ave, BERKELEY CA 94704",Building Permit,Reroof- Remove the existing roof and install new fiber glass shingles. 15 sq.,Finaled,10/24/2023,
B2016-05776,"2644 BENVENUE Ave, BERKELEY CA 94704",Electrical Permit,Install 200amps service with (2) meters and two (2) sub panels,Finaled,12/15/2016,
B2016-05078,"2644 BENVENUE Ave, BERKELEY CA 94704",Building Permit,Remove (E) brick and replace with a (2) story foundation. For transfer tax rebate.,Finaled,10/27/2016,
B2025-02762,"2649 BENVENUE Ave, BERKELEY CA 94704",Building Permit,"Rehab existing 3 story 6 unit building. Demo existing deck on east side of property. Replace all electrical outlets, switches and lighting. Update all the plumbing throughout the units. Remodel interior layout and replace all windows and doors. Install new sheetrock, flooring, cabinets and trims. Repair and replace exterior siding like for like. Install new 30 year comp shingles on roof",Issued,07/03/2025,demolition
B2011-04650,"2649 BENVENUE AVE, BERKELEY CA 94704",Building Permit,** VOLUNTARY SEISMIC.,Closed Expired,11/16/2011,
B2001-02674,"2649 BENVENUE AVE, 6, BERKELEY CA 94704",Building Permit,CREATE (N) BATHROOM IN (E) BEDROOM SPACE OF UPPER FLOOR (UNIT 6),Closed Expired,07/10/2001,
B2001-02672,"2649 BENVENUE AVE, 3, BERKELEY CA 94704",Building Permit,UNIT 3: ADD SUNROOM/BAY WINDOW AT LOWER FLOOR,Closed Expired,07/10/2001,
B2000-00791,"2649 BENVENUE AVE, BERKELEY CA 94704",Electrical Mechanical Permit,"UPGRADE SERVICE IN APARTMENT #4, WATER HEATER IN UNITS 4 & 5, STOVE W/HOOD IN UNIT #4",Closed Expired,03/02/2000,
B2000-00791-M,"2649 BENVENUE AVE, BERKELEY CA 94704",Electrical Mechanical Permit,"UPGRADE SERVICE IN APARTMENT #4, WATER HEATER IN UNITS 4 & 5, STOVE W/HOOD IN UNIT #4",Closed Expired,03/02/2000,
B1996-03400,"2649 BENVENUE AVE, BERKELEY CA 94704",Building Electrical Plumbing Permit,REPLACE WINDOWS IN UNIT NO 5,Closed Expired,08/27/1996,
B1996-03400-E,"2649 BENVENUE AVE, BERKELEY CA 94704",Building Electrical Plumbing Permit,REPLACE WINDOWS IN UNIT NO 5,Closed Expired,08/27/1996,
B1996-03400-P,"2649 BENVENUE AVE, BERKELEY CA 94704",Building Electrical Plumbing Permit,REPLACE WINDOWS IN UNIT NO 5,Closed Expired,08/27/1996,
B2016-01598,"2701 BENVENUE Ave, BERKELEY CA 94705",Plumbing Permit,REPLACE 50 GAL WATER HEATER IN KIND,Closed Expired,04/06/2016,
B2003-04542,"2701 BENVENUE AVE, BERKELEY CA 94705",Building Electrical Permit,"Remove lathe/plaster from walls in 2 bedrooms on 2nd floor and upper hall. insulate exterior walls. Replace electrical knob & tube with new wiring and add 4 outlets, 4 lights and 2 switches. subject to field inspection.",Closed Expired,10/09/2003,
B2003-04542-E,"2701 BENVENUE AVE, BERKELEY CA 94705",Building Electrical Permit,"Remove lathe/plaster from walls in 2 bedrooms on 2nd floor and upper hall. insulate exterior walls. Replace electrical knob & tube with new wiring and add 4 outlets, 4 lights and 2 switches. subject to field inspection.",Closed Expired,10/09/2003,
B2002-02895-P,"2701 BENVENUE AVE, BERKELEY CA 94705",Building Electrical Plumbing Permit,"REPLACE DRYROT AND WATER DAMAGED WOOD AROUND TUB/SHOWERS IN 2 BATHROOMS, AND REPAIR DRYROT IN LAUNDRYROOM PLANS SUBJECT TO FIELD INSPECTION",Closed Expired,07/10/2002,
B2002-02895-E,"2701 BENVENUE AVE, BERKELEY CA 94705",Building Electrical Plumbing Permit,"REPLACE DRYROT AND WATER DAMAGED WOOD AROUND TUB/SHOWERS IN 2 BATHROOMS, AND REPAIR DRYROT IN LAUNDRYROOM PLANS SUBJECT TO FIELD INSPECTION",Closed Expired,07/10/2002,
B2002-02895,"2701 BENVENUE AVE, BERKELEY CA 94705",Building Electrical Plumbing Permit,"REPLACE DRYROT AND WATER DAMAGED WOOD AROUND TUB/SHOWERS IN 2 BATHROOMS, AND REPAIR DRYROT IN LAUNDRYROOM PLANS SUBJECT TO FIELD INSPECTION",Closed Expired,07/10/2002,
B2001-02631,"2701 BENVENUE AVE, BERKELEY CA 94705",Building Permit,"REPAIR PARTIAL FOUNDATION W/ NEW 2 STORY REINFORCED CONCRETE, NEW PIERS, AND CONCRETE CAP.",Closed Expired,07/06/2001,addition
B1999-01155,"2701 BENVENUE AVE, BERKELEY CA 94705",Building Permit,DEMOLITION OF GARAGE,Closed Expired,03/18/1999,demolition
B1994-00650,"2701 BENVENUE AVE, BERKELEY CA 94705",Building Permit,"REPLACE LOOSE PLASTER WITH SHEETROCK, REBUILD DECK AND STAIRS, CLOSE DOOR TO HALLWAY AND CREATE OPENING BETWEEN ROOMS REPLACE 20' OF FALLEN RAIN GUTTER",Closed Expired,03/01/1994,
B1996-00565,"2703 BENVENUE AVE, B, BERKELEY CA 94705",Electrical Permit,"ELECTRICAL WORK INSTALL 1/2"" CONDUIT, WIRE, BOXES & RECEPT. FOR 2703 B - BASEBOARD HEATERS (2)",Closed Expired,02/20/1996,
B2026-03236,"2705 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Install new interior staircase and remove two kitchens to combine 2705 and 2703 A&B into one unit. Approved by planning under AUP ZP2025-0086. See Karen Hernandez for questions. Thanks!,Under Review,07/30/2026,ADU/unit
B2026-01592,"2705 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,Upgrade main service panel from a 3 meter 100 amp to 2 meter 400 amp main service on the same location as the existent.,Corrections List Issued,04/16/2026,
B2023-00595,"2705 BENVENUE Ave, BERKELEY CA 94705",Building Plumbing Permit,"Insulation, drywall, replace shower pan/walls. Reset toilet.",Finaled,02/09/2023,
B2022-04326,"2705 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Elevated Elements Repairs to stairs --Report dated 5/27/22,Finaled,09/15/2022,
B1995-04278,"2705 BENVENUE AVE, BERKELEY CA 94705",Building Permit,RE-ROOFING OVER LIVINGROOM AREA CLASS C,Closed Expired,10/31/1995,
B1993-06774,"2707 BENVENUE AVE, BERKELEY CA 94705",Electrical Permit,"SERVICE, METER SUBEED TO UNIT",Closed Expired,11/08/1993,
B2024-03907,"2708 BENVENUE Ave, B, BERKELEY CA 94705",Building Permit,"Rear Cottage- Rear Roof Remove existing roofing material Install new class A fire rated, limited lifetime warranty comp shingles.",Finaled,08/08/2024,ADU/unit
B2024-03908,"2708 BENVENUE Ave, A, BERKELEY CA 94705",Building Permit,Rear flat roof. Remove existing roofing material. Install new modified bitumen roofing material. Front lower shingle roof. Remove existing. Install new comp shingles. No work to upper main sloping roof.,Finaled,08/08/2024,
B2007-01594,"2708 BENVENUE AVE, BERKELEY CA 94705",Plumbing Permit,REMOVE/REPLACE GAS WATER HEATER.,Closed Expired,04/13/2007,
B1993-06775,"2709 BENVENUE AVE, BERKELEY CA 94705",Electrical Permit,"SERVICE, METER, SUBFEED TO UNIT",Closed Expired,11/08/1993,
B1993-06776,"2709 BENVENUE AVE, B, BERKELEY CA 94705",Electrical Permit,"SERVICE, METER, SUBFEED TO UNIT",Closed Expired,11/08/1993,
B2006-01846,"2710 BENVENUE AVE, BERKELEY CA 94705",Building Permit,REPAIR EXISTING EXTERIOR STAIRS AND LANDINGS Ellie said needs engineered design & to remove from system 5/22/06--pmj,Closed Expired,05/22/2006,
B2017-03302,"2711 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Add new deck to (E) structure in rear.,Finaled,07/31/2017,
B2016-00485-REV02,"2711 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2016-00485,"*** Revision - details for insulation/ roof, ventilation, CF-1R compliance report, furnace location, gas line sizing, BTU for appliances, electrical & ventialtion",Issued,07/01/2016,
B2016-00485-REV01,"2711 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2016-00485,"REVISION SUBMITTED FOR INTERIOR RENOVATION,NEW WINDOWS,PLUMBING,ELECTRICAL NO CHANGE IN VALUATION.",Issued,02/16/2016,
B2016-00485,"2711 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,"REPLACE 7 WINDOWS LIKE FOR LIKE. REVISION SUBMITTED 2/16/16 FOR INTERIOR RENOVATION,NEW WINDOWS,PLUMBING,ELECTRICAL NO CHANGE IN VALUATION.",Finaled,02/04/2016,
B1993-06777,"2711 BENVENUE AVE, BERKELEY CA 94705",Electrical Permit,"INSTALL METER, SERVICE, SUBFEED TO UNIT",Closed Expired,11/08/1993,
B2025-05972,"2712 BENVENUE Ave, BERKELEY CA 94705",Building Permit record created from ESR-2025-04547,"To remove the left over knob and tube throughout the house. To replace wires in place of removed knob and tube. This includes 2 existing receptacles, 9 wall sconces, and 5 switches originally fed by knob and tube.",Finaled,12/30/2025,
25TMP-035188,"2712 BENVENUE Ave, BERKELEY CA 94705",,To,,12/19/2025,
B2016-03557-REV01,"2712 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2016-03557,"Revision submitted to add new partition walls for interior closet. Valuation increased form $125,000 to $126,000.",Issued,10/24/2016,
B2016-03557,"2712 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,"Partial kitchen remodel (remove/replace countertop, install (N) appliances, remodel bathroom, remove tub & install shower, install (N) plumbing fixtures, convert closet into power room, install (N) toilet & lavatory, laundry room washer and dryer replacement 12/1/16 Install gas fireplace insert Iron Strike Madison Park 27 #H9122",Finaled,07/29/2016,
B2016-03352,"2712 BENVENUE Ave, BERKELEY CA 94705",Plumbing Permit,"Replace (E) tankless water heater, gas line & water line",Finaled,07/18/2016,
B2016-02872,"2712 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,Install new sub-panel in laundry room,Finaled,06/17/2016,
B2000-02820,"2712 BENVENUE AVE, BERKELEY CA 94705",Building Permit,"REMOVE ALL ROOTING UPPER ROOF ONLY. 3 LAYERS INSTALL 4A ""PLYWOOD"", #15 FELT INSTALL 25 YEAR COMP SHINGLE. COAT FLATROOF WITH EMULSION.",Closed Expired,07/05/2000,
B2025-05463,"2714 BENVENUE Ave, BERKELEY CA 94705",Building Permit record created from ESR-2025-04064,"Revision to scope: Replace sub panel, 30-space rated up to 100A 240V, using new 70A sub feed. Fish Method. Remediate hazardous wiring by fish method (24) Plugs, (16) Lights, (10) switches.",Finaled,12/01/2025,
B2019-01210,"2714 BENVENUE Ave, BERKELEY CA 94705",Mechanical Permit,Replace furnace,Issued,03/20/2019,
B2013-02657,"2714 BENVENUE AVE, BERKELEY CA 94705",Building Permit,REPLACING SINGLE PIER AT FOUNDATION.,Closed Expired,06/13/2013,
B2002-00134,"2714 BENVENUE AVE, BERKELEY CA 94705",Plumbing Permit,REPLACE WATER HEATER.,Closed Expired,01/11/2002,
B2025-05137,"2716 BENVENUE Ave, BERKELEY CA 94705",Building Permit record created from ESR-2025-03946,"Remediate hazardous wiring by fish method. (26) plugs, (20) lights, (14) switches. Replace the subpanel, 30-Space, 100A 240V, existing 60A sub feed. Fishing Method, subject to field inspection.",Finaled,11/10/2025,
B2022-04780,"2716 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Plumbing Permit,"Create a 1/2 bathroom by removing a closet, installing a new water closet & relocating the existing sink.",Finaled,10/14/2022,
B2020-02925,"2716 BENVENUE Ave, BERKELEY CA 94705",Plumbing Permit,Exterior tankless water heater and new gas line for second floor unit.,Finaled,09/03/2020,
B2020-02588,"2716 BENVENUE Ave, BERKELEY CA 94705",Mechanical Permit,Redo gas line,Finaled,08/10/2020,
B2015-04471,"2716 BENVENUE AVE, BERKELEY CA 94705",Electrical Permit,Install PV Solar System K.W. 2.56,Finaled,09/15/2015,
B2023-05061,"2717 BENVENUE Ave, BERKELEY CA 94705",Plumbing Permit,Replaced existing tankless water heater with new tankless water heater in same location.,Closed Expired,10/02/2023,
B2022-01261,"2717 BENVENUE Ave, BERKELEY CA 94705",Mechanical Permit,DUCT SYSTEM (8 SUPPLIES) CHANGE OUT LIKE FOR LIKE,Closed Expired,03/22/2022,
B2015-04948,"2717 BENVENUE AVE, BERKELEY CA 94705",Electrical Plumbing Permit,** RPLC TANKLESS WTR HTR ELEC SAME LOC,Closed Expired,10/13/2015,
B2015-04948-P,"2717 BENVENUE AVE, BERKELEY CA 94705",Electrical Plumbing Permit,** RPLC TANKLESS WTR HTR ELEC SAME LOC,Closed Expired,10/13/2015,
B2015-04151,"2717 BENVENUE AVE, BERKELEY CA 94705",Electrical Permit,INSTALL 3.2KW SOLAR INSTALLATION ON ROOF. SEE ATTACHED CONDITIONS OF APPROVAL,Finaled,08/26/2015,
B2014-02613,"2717 BENVENUE AVE, BERKELEY CA 94705",Electrical Permit,SERVICE UPGRADE,Finaled,06/12/2014,
B2006-05014,"2717 BENVENUE AVE, BERKELEY CA 94705",Building Permit,"ROOFING - TEAROFF AND RESHEATH AND INSTALL COMPOSITION SHINGLE, CLASS A",Closed Expired,11/29/2006,
B2025-03367,"2722 BENVENUE Ave, BERKELEY CA 94705",Building Permit,shingle to shingle 25.sq,Finaled,08/11/2025,
B2024-02773,"2722 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Remove old roof to be replaced with OC duration cool shingles- 60 sq.,Finaled,06/05/2024,
B2017-03986,"2722 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,Revised Description: Installation of new riser and 200 amp commercial grade meter main service with distribution (2017-12-07).,Finaled,09/14/2017,
B1995-05012,"2722 BENVENUE AVE, BERKELEY CA 94705",Building Permit,"PHONED CUSTOMER NEED TO PAY A PLAN FEE CUSTOMER ALSO NEED TO SUBMIT 3 MORE SETS OF PLANS & FILL OUT A ZONING APPLICATION SEISMIC UPGRADE INTERIOR FDT. WORK, BOLTS & SHEARWALLS ALL WORK IN SUBSTRUCTURE",Closed Expired,12/29/1995,
B1995-00277,"2722 BENVENUE AVE, BERKELEY CA 94705",Building Permit,SEISMIC UPGRADE WORK TO BE DONE IN ACCORDANCE WITH ORDINANCE 6128,Closed Expired,01/25/1995,
B2022-01611-REV01,"2723 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2022-01611,Revision to change module locations. No increase in valuation.,Issued,05/26/2022,
B2022-01611,"2723 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,Install 6.0 KW PV solar panels (15 modules) on the roof.,Finaled,04/12/2022,
B1998-02714,"2723 BENVENUE AVE, BERKELEY CA 94705",Building Permit,"REPLACE DAMAGED WOOD MEMBERS, REBUILD REAR PORCH & DRY ROT.",Closed Expired,07/02/1998,
B1996-05170,"2728 BENVENUE AVE, BERKELEY CA 94705",Plumbing Permit,MAIN WASTE REPAIR,Closed Expired,12/23/1996,
B1996-05041,"2728 BENVENUE AVE, BERKELEY CA 94705",Building Permit,SEISMIC REPAIRS UNDER TERMITE REP. # 3B AND REROOF-30 YR COMP SHINGLES,Closed Expired,12/12/1996,
B2025-00276,"2733 BENVENUE Ave, BERKELEY CA 94705",PermitPermit,New 8.61kW Solar PV Installation. 21 modules flush mounted on roof. 20kWh Energy Storage System to be installed in detach garage,Finaled,01/22/2025,
B2023-04900,"2733 BENVENUE Ave, BERKELEY CA 94705",Building Permit record created from ESR-2023-02771,Upgrade from existing overhead 100 amps main meter panel to 200 amps overhead surface-mounted main meter panel service.,Finaled,09/21/2023,
B2023-00302-REV01,"2733 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2023-00302,"Converting non-conditioned attic to conditioned space, including (1) bedroom, (1) bathroom and family room. Adding seismic upgrade to the project (see structural drawings). New window at (E) office on the first level to be reduced in size.",Finaled,06/13/2023,
B2023-00302,"2733 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,"Remove greenhouse, remove walls to enlarge kitchen, add 1/2 bath/mudroom on 1st floor, add 2 bathrooms to 2nd floor and laundry room. New rear deck.",Finaled,01/25/2023,
B2008-04720,"2733 BENVENUE AVE, BERKELEY CA 94705",Plumbing Permit,Plumbing- replace shower pan on the second floor only,Closed Expired,10/20/2008,
B2024-06112,"2734 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Removal of the old roof and installation of new asphalt shingle roof.,Finaled,12/30/2024,
B2020-04510,"2734 BENVENUE Ave, BERKELEY CA 94705",Mechanical Permit,"96% 110,000 BTUS FAU CHANGE OUT",Closed Expired,12/28/2020,
B2020-03788,"2734 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Retrofit Marvin window replacement. In kind and type with the exception of changing 2 bedroom windows to Casement (with simulated rail) to meet Fire Egress code.,Finaled,11/03/2020,
B1995-04973,"2734 BENVENUE AVE, BERKELEY CA 94705",Building Permit,SEISMIC UPGRADE,Closed Expired,12/26/1995,
B2021-02719,"2735 BENVENUE Ave, BERKELEY CA 94705",Plumbing Permit,Replace existing hot water heater- Single unit,Finaled,06/24/2021,
B2012-01049,"2735 BENVENUE AVE, BERKELEY CA 94705",Building Permit,"Ellie spent over 60 min. w/ applicant and another 30 minutes doing cor. letter, no longer otc. Replace windows",Closed Expired,03/21/2012,
B2012-01056,"2735 BENVENUE AVE, BERKELEY CA 94705",Building Permit,"Ellie spent over 60 min. w/ applicant and another 30 minutes doing cor. letter, no longer otc. REPLACE WINDOWS",Closed Expired,03/21/2012,
B2012-01055,"2737 BENVENUE AVE, BERKELEY CA 94705",Building Permit,"Ellie spent over 60 min. w/ applicant and another 30 minutes doing cor. letter, no longer otc. REPLACE WINDOWS",Closed Expired,03/21/2012,
B2019-01275,"2738 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,3 new 120-bolt circuits and 4 new outlets.,Finaled,03/26/2019,
B2023-00144,"2742 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,Main panel upgrade- 200 Amps,Finaled,01/17/2023,
B2022-03465,"2742 BENVENUE Ave, BERKELEY CA 94705",PermitPermit,Install 4.32 KW PV solar panels (12 modules) on the roof.,Finaled,07/26/2022,
B2021-05302,"2742 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Tear off 22 sqs of existing composition shingle roof and 9 sqs of flat roof and replace with new.,Finaled,11/23/2021,
B2018-01492,"2742 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Voluntary Seismic at the crawl space not for Transfer Tax Rebate. Correct address from 2712 to 2742 Benvenue Ave.,Finaled,04/17/2018,
B2018-03083,"2793 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Engineered voluntary seismic: Typical Plywood Shear. Not for Transfer Tax Rebate.,Finaled,08/07/2018,
B2018-02938,"2793 BENVENUE Ave, BERKELEY CA 94705",Building Permit,"Foundation Repair per Plan Dave Olnes PE, Inc.",Finaled,07/27/2018,
B2016-04286,"2793 BENVENUE Ave, BERKELEY CA 94705",Plumbing Permit,"Repair 30' under home 3"" line of pipe. Put a riser and repair 3"" section outside put a cleanout.",Finaled,09/12/2016,
B1995-02663,"2793 BENVENUE AVE, BERKELEY CA 94705",Building Electrical Permit,UPGRADE WIRING FOR TWO LIGHT FIXTURES AND ONE ELECTRICAL OUTLET. REPLACE APPROX. 100 S.F. OF PLASTER WITH GYPSUM WALL BOARD.,Closed Expired,07/24/1995,
B1995-02663-E,"2793 BENVENUE AVE, BERKELEY CA 94705",Building Electrical Permit,UPGRADE WIRING FOR TWO LIGHT FIXTURES AND ONE ELECTRICAL OUTLET. REPLACE APPROX. 100 S.F. OF PLASTER WITH GYPSUM WALL BOARD.,Closed Expired,07/24/1995,
B1996-03101,"2799 BENVENUE AVE, BERKELEY CA 94705",Mechanical Permit,REPLACE FLUE AND AND DUCT.,Closed Expired,08/07/1996,
B2019-02791-REV01,"2801 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2019-02791,Revision 01 to add a reinforcing beam to the upper floor framing. No increase in valuation.,Issued,03/09/2023,
B2019-02791,"2801 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,"Remove & replace partition walls. Reconfigure kitchen, relocate bath & build new cantilevered window seating. New roof over front & rear porches. New rear exterior stairs & concrete stairs to the basement with a retaining wall. Relocate one existing fence, build one new fence, change door to a window, relocate interior door & remove interior stairs. Upgrade main service panel to 200 AMPs.",Finaled,07/08/2019,
B2022-00232,"2804 BENVENUE Ave, BERKELEY CA 94705",Mechanical Permit,Install Carrier Performance furnace,Finaled,01/20/2022,
B2011-00589,"2804 BENVENUE AVE, BERKELEY CA 94705",Building Permit,"** TEAR OFF AND INSTALL 28LB MODFIED BITUMENT SYSTEM AND COMPOSITION SHINGLE ROOF SYSTEM, CLASS A.",Closed Expired,02/14/2011,
B2003-05382,"2804 BENVENUE AVE, BERKELEY CA 94705",Mechanical Permit,Replacing heating system,Closed Expired,12/03/2003,
B2002-01202,"2804 BENVENUE AVE, BERKELEY CA 94705",Plumbing Permit,REPLACE 50GAL GAS WATER HEATER,Closed Expired,03/28/2002,
B2017-00861,"2808 BENVENUE Ave, BERKELEY CA 94705",Plumbing Permit,"Replace galvanized pipe water line from meter to sidewalk which serves two (2) 5/8"" meters. Sidewalk will not be broken.",Finaled,03/01/2017,
B2001-02145,"2808 BENVENUE AVE, BERKELEY CA 94705",Plumbing Permit,REPLACE GALVANIZED WATER SUPPLY TO 1ST POINT OF COPPER.,Closed Expired,06/05/2001,
B2000-05244,"2811 BENVENUE AVE, BERKELEY CA 94705",Plumbing Permit,SEWER LATERAL REPAIR (ENGINEERING PERMIT NR IS 00-5245),Closed Expired,12/01/2000,
B2016-05932-REV02,"2812 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2016-05932,"Revision to repair deck due to dry rot, new trellis on deck. Increase valuation $5,000.",Issued,04/09/2018,
B2016-05932-REV01,"2812 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2016-05932,Engineering changes and reduction.,Issued,03/06/2018,
B2016-05932,"2812 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,"Remodel kitchen & bath, foyer, sunroom & deck with new stairs. Remove interior stairs by kitchen, enclose living room and create bedroom, install gas fireplace insert in existing fireplace. 2/16/18 - MEP permits issued.",Finaled,12/23/2016,
B2016-02816,"2812 BENVENUE Ave, BERKELEY CA 94705",Mechanical Permit,FURNACE REPLACEMENT,Finaled,06/15/2016,
B2015-03498,"2812 BENVENUE AVE, BERKELEY CA 94705",Building Permit,SEISMIC STRENGTHENING AT THE CRAWL SPACE AND FOUNDATION REPLACEMENT FOR TRANSFER TAX REBATE,Finaled,07/22/2015,
B2024-04233,"2815 BENVENUE Ave, BERKELEY CA 94705",Building Permit,"Removal of existing roofing materials down to the existing sheathing, and installation of new class A ""like for like"" asphalt composition shingles with manufacturer limited lifetime warranty.",Finaled,08/29/2024,
B2024-01929,"2815 BENVENUE Ave, BERKELEY CA 94705",PermitPermit,"Install 5.81 (DC) KW PV solar panels (14 modules) on the roof with a 13.5 kWh Tesla Powerwall, battery disconnect & NEMA 14-50 EV outlet on the exterior.",Finaled,04/19/2024,
B2016-00153,"2815 BENVENUE Ave, BERKELEY CA 94705",Mechanical Permit,REPLACE FURNACE,Finaled,01/13/2016,
B1996-04046,"2815 BENVENUE AVE, BERKELEY CA 94705",Building Permit,KITCHEN/FAMILY ROOM REMODEL,Closed Expired,10/08/1996,
B2019-00580,"2816 BENVENUE Ave, BERKELEY CA 94705",Demolition Permit,Demo (E) garage for new ADU,Finaled,02/11/2019,"ADU/unit, demolition"
PREAPP000294,"2816 BENVENUE Ave, BERKELEY CA 94705",,The Condiminiums,Closed,02/11/2019,
B2018-04616,"2816 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,"Construction of a new secondary dwelling unit. AUP obtained March 20, 2017",Closed Expired,11/19/2018,
B2018-03795,"2816 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,"Remove second floor kitchen, remodel & expand bathroom, replace bathroom window. Remove exterior stairs to deck & repair guard. Fire Zone 2 Property.",Finaled,09/24/2018,
B1995-04656,"2816 BENVENUE AVE, BERKELEY CA 94705",Building Permit,"REPLACE DRY ROT AFFECTED WOOD; REPLACE WITH REDWOOD OR PRESURE TREATED DOUGLAS FIR; ADD CONCRETE BOTTOM STEP AND RE BUILD HAND RAILING TO CODE WITH MAXIMUM 4"" OPENINGS BETWEEN PICKETS",Closed Expired,11/28/1995,
B2005-02892,"2818 BENVENUE AVE, BERKELEY CA 94705",Plumbing Permit,PLUMBING - REPLACE WATER HEATER,Closed Expired,07/11/2005,
B1995-03621,"2818 BENVENUE AVE, BERKELEY CA 94705",Building Permit,REMOVE SHINGLES WOOD; REPLACE WITH ALCOA VINYL SIDING ICBO 3985; PERMIT CLOSED TIME LIMIT EXPIRED MP62001,Closed Expired,09/20/1995,
B2023-02814,"2819 BENVENUE Ave, BERKELEY CA 94705",Building Permit record created from ESR-2023-01586,Upgrade to 400A panel.,Finaled,05/31/2023,
B2021-01192-REV01,"2819 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2021-01192,Reduce ADU 10sqft to 563sqft total. Reconfigure bathroom and laundry closet. Minor window/door size revised. No increase in valuation.,Finaled,03/02/2022,ADU/unit
PREAPP000796,"2819 BENVENUE Ave, BERKELEY CA 94705",,Add address to parcel for new ADU: 2819 A Benvenue Ave.,Closed,09/13/2021,ADU/unit
B2021-01192,"2819 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,Convert portion of basement into ADU. Including new exterior entry at north side and new windows at north and west front.,Finaled,03/30/2021,ADU/unit
B2019-00582,"2819 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,Install (N) EV charger 40A/240V...Replacing sub-panel in basement 100 amps,Finaled,02/11/2019,
B2008-01656,"2819 BENVENUE AVE, BERKELEY CA 94705",Building Permit,REROOF - REMOVE AND REPLACE WITH CLASS A.,Closed Expired,04/17/2008,
