source_record_key,grounded_count,convention,source_document,source_ref,corroboration,adjudicated,note
"B2017-01320","1","dwelling","CPRA WorkDescription: ""Legalize conversion of 679 sq.ft. basement into ADU. Legalization of in-law unit/2nd dwelling initiated in 1998 under expired permit #B1998-""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2374 EUNICE"
"B2023-02152","1","dwelling","CPRA WorkDescription: ""Construction of a new accessory dwelling in rear yard of an existing house. (See PV solar install on Permit #B2023-04306.)""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2335 5TH"
"B2021-03186","1","dwelling","CPRA WorkDescription: ""Legalize basement workshop conversion to ADU. Fire zone 2""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2312 ROSE"
"B2018-03054","1","dwelling","CPRA WorkDescription: ""Change of use from office building to a single-family residence with four bedrooms.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2200 M L KING JR"
"B2021-05070","1","dwelling","CPRA WorkDescription: ""Convert existing storage on ground level of multi-family building into a new 890 sq ft 2BR accessory dwelling unit.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2022 DWIGHT"
"B2021-05201","1","dwelling","CPRA WorkDescription: ""Existing Basement area to be legalized for use as a J-ADU. Fire zone 2""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2014 LOS ANGELES"
"B2019-00801","1","dwelling","CPRA WorkDescription: ""Conversion of existing garage into ADU.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1710 CHESTNUT"
"B2020-01556","1","dwelling","CPRA WorkDescription: ""Enlarge garage and convert into an ADU""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1775 SONOMA"
"B2017-02390","1","dwelling","CPRA WorkDescription: ""Interior renovation to include: Attic conversion in to 597 SF master bedroom, 472 SF basement conversion into ADU, remodel and expand (E) ki""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1891 SAN JUAN"
"B2016-01284","1","dwelling","CPRA WorkDescription: ""New 357 SF ADU""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1915 VIRGINIA"
"B2015-05182","1","dwelling","CPRA WorkDescription: ""Add 2,610 square feet to rear in order to enlarge units and add one new unit. Remodel all unit kitchens and baths. Extension to 8-18-2018 R.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2414 DANA"
"B2016-02154","1","dwelling","CPRA WorkDescription: ""Convert lower floor into 2nd unit and addition of bedroom and bath for upstairs unit, remodel upstairs bathrooms and kitchen""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 3040 TREMONT"
"B2018-05115","1","dwelling","CPRA WorkDescription: ""Convert existing 384 sq. ft. accessory building to Accessory Dwelling Unit with 65 sq. ft. addition.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 3124 LEWISTON"
"B2017-03153","1","dwelling","CPRA WorkDescription: ""Residential renovation - create conditioned space in basement (ADU) to include plumbing, electrical, mechanical, and renovate existing dwell""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 450 ARLINGTON"
"B2020-01576","1","dwelling","CPRA WorkDescription: ""SECONDARY UNIT CONVERSION & REMODEL (360 SF) OF AN EXISTING GARAGE IN REAR YARD. (NOTE THAT GARAGE HAS BEEN REBUILT & REMODELED WITH 2002 PE""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 773 NEILSON"
"B2021-05401","1","dwelling","CPRA WorkDescription: ""Covert garage into living room and existing lower level into junior accessory dwelling unit. Fire zone 2""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 842 THE ALAMEDA"
"B2017-02860","1","dwelling","CPRA WorkDescription: ""Conversion of (E) basement into a new 325 SF ADU""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 901 CRAGMONT"
"B2023-03862","1","dwelling","CPRA WorkDescription: ""New residence- Back Unit. (Front Unit B2023-03857)""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 3019 BATEMAN"
"B2017-03447","1","dwelling","CPRA WorkDescription: ""Convert (E) 420 SF master bedroom into ADU""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2504 GRANT"
"B2022-06033","1","dwelling","CPRA WorkDescription: ""Build new bathroom in (E) sunroom. Reconfigure (E) kitchen, (E) bathroom, internal stairs, and portion of basement into a 457 SF junior ADU.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 26 ROCK"
"B2017-04282","1","dwelling","CPRA WorkDescription: ""** OWNER ADDED ELECT, MECH AND PLUMB PERMITS. Construct new (3304 SF) single family house. Must Comply With Fire Zone 2 Requirements.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2702 SHASTA"
"B2023-00475","1","dwelling","CPRA WorkDescription: ""Excavate to create 287 sf JADU and enlarge family room. Reconfigure, laundry room and bathroom. Remodel bath 1 @ 3rd floor. Remove exterior ""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2723 FOREST"
"B2017-02581","1","dwelling","CPRA WorkDescription: ""Per Housing Report #H2016-00061, Dated 7/25/16, Items 1 & 2. Legalize 253 SqFt conversion of garage & garden shed to an accessory dwelling u""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2810 ASHBY"
"B2016-01064","1","dwelling","CPRA WorkDescription: ""Convert existing 449 sq. ft. rear yard structure to an Accessory Dwelling Unit. Eliminate one window, install a new window. Install tank-les""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2915 PINE"
"B2018-03725","1","dwelling","CPRA WorkDescription: ""Conversion of (e) shed to an ADU. See permit # B2018-03724""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1642 ASHBY"
"B2017-03483","1","dwelling","CPRA WorkDescription: ""Raise existing single family dwelling to facilitate creating an addition at new ground floor. Convert ground floor to conditioned space and ""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1233 EVELYN"
"B2017-04092","1","dwelling","CPRA WorkDescription: ""Convert 451 SqFt basement to create Accessory Dwelling Unit. Remodel, enlarge one (1) window. Increase valuation from $23,000 to $77,000. Fi""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1311 SPRUCE"
"B2017-01805","1","dwelling","CPRA WorkDescription: ""3/19/18 - Electrical and Plumbing permit issued. Convert unconditioned basement into an accessory dwelling unit. Existing slab and foundatio""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1319 BLAKE"
"B2023-01652","1","dwelling","CPRA WorkDescription: ""Alteration to convert a single family home to duplex of approximately 1,800 sf each. Alteration of driveway cut to accommodate 2 parking spa""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1341 ADDISON"
"B2024-05992","1","dwelling","CPRA WorkDescription: ""Convert existing detached family room into an ADU""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1355 ACTON"
"B2019-04142","1","dwelling","CPRA WorkDescription: ""Interior renovation & add 191 Sq. ft. to the main house. Convert 474 Sq. ft. of existing house to new Junior ADU.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1412 HARMON"
"B2019-04410","1","dwelling","CPRA WorkDescription: ""Addition to existing accessory building to create new 390SF ADU""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1414 HOLLY"
"B2022-00090","1","dwelling","CPRA WorkDescription: ""Conversion of basement space into Jr ADU. Property in Fire Zone 2.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1051 WOODSIDE"
"B2018-00512","1","dwelling","CPRA WorkDescription: ""Conversion of (E) 360 SF garage into 486 SF ADU. Must Comply with Fire Zone 2 Requirements.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1120 OXFORD"
"B2020-00059","1","dwelling","CPRA WorkDescription: ""Add accessory dwelling unit to walk-out basement. Excavate to provide required ceiling height and replace foundations. Fire zone 2. Includes""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1132 AMADOR"
"B2024-00772","1","dwelling","CPRA WorkDescription: ""Convert garage to new ADU.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 12 PANORAMIC"
"B2021-01428","1","dwelling","CPRA WorkDescription: ""Create a Jr. Accessory Dwelling Unit within existing footprint, the unit will include a new kitchen and bathroom. Relocation of laundry room""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1206 TALBOT"
"B2017-03316","1","dwelling","CPRA WorkDescription: ""Remodel (E) conditioned 500 SF accessory structure into 500 SF ADU""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1218 EVELYN"
"B2017-03979","1","dwelling","CPRA WorkDescription: ""Convert 191 sqft (E) Garage into an accessory dwelling unit. Add additional 227 sqft bathroom & bedroom to create 1-bedroom apartment.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1040 MARIPOSA"
"B2019-01994","1","dwelling","CPRA WorkDescription: ""Project is a remodel of an existing ground floor space to legalize space as an Accessory Dwelling Unit. Work includes Remodeled Kitchen and ""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1462 STANNAGE"
"B2019-00401","1","dwelling","CPRA WorkDescription: ""421SF New construction of detached ADU""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1507 TYLER"
"B2019-05151","1","dwelling","CPRA WorkDescription: ""New 740 Sq Ft Accessory Dwelling Unit in rear yard.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1512 NORTH"
"B2020-02078","1","dwelling","CPRA WorkDescription: ""Interior and exterior alterations and addition to continue the non-conforming duplex foundation replacement and the construction of a second""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1600 WALNUT"
"B2018-00936","1","dwelling","CPRA WorkDescription: ""New ADU""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1522 ALCATRAZ"
"B2021-02085","1","dwelling","CPRA WorkDescription: ""697 SF HUD/HCD approved Manufactured unit to be installed on permanent foundation""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1462 SAN PABLO"
"B2017-02347","1","dwelling","CPRA WorkDescription: ""Residential remodel to include; raising (E) house 3' and adding a 900 SF secondary unit.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1432 SPRUCE"
"B2020-01519","1","dwelling","CPRA WorkDescription: ""Convert (E) unconditioned, detached garage to 313 SF ADU. *Revision01: Change the building shell by doubling the wall thickness and adding i""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1620 DELAWARE"
"B2018-02012","1","dwelling","CPRA WorkDescription: ""Change use from an office to an apartment unit. Interior remodel, remove & replace interior partition walls. Relocate kitchen & half bath. C""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1444 WALNUT"
"B2017-02990","1","dwelling","CPRA WorkDescription: ""Construct 3270sqft two-story residence over 880 sqft garage.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1441 GRIZZLY PEAK"
"B2019-03245","1","dwelling","CPRA WorkDescription: ""Convert commercial spaces into a 4-bedroom residential unit per Use Permit #ZP2018-0189. Reconfigure interior, add new windows, upgrade plum""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1711 M L KING JR"
"B2020-01040","1","dwelling","CPRA WorkDescription: ""New 2050 SF house (Unit B)""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1512 CARLETON"
"B2020-02423","2","dwelling","CPRA WorkDescription: ""Convert carports into 2 ADU's (1st Unit - 648SF, 2nd Unit 666SF)""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2233 GRANT"
"B2017-04756","1","dwelling","CPRA WorkDescription: ""12/20/18 - MEP permits issued. Build a new detached 447 sq ft ADU""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2233 CURTIS"
"B2014-02947","1","dwelling","CPRA WorkDescription: ""RAISE EXISTING HOUSE THREE (3) FEET. CREATION OF NEW UNIT- 1260 S.F., ADDITION TO EXISTING - 380 & KITCHEN REMODEL. TOTAL NEW S.F. 1640 ***B""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2031 PRINCE"
"B2020-03928","1","dwelling","CPRA WorkDescription: ""Install manufactured home as an accessory dwelling unit in homeowners backyard""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2131 DERBY"
"B2018-02528","1","dwelling","CPRA WorkDescription: ""Renovate (e) garage and convert into ADU""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2271 VIRGINIA"
"B2018-02733","1","dwelling","CPRA WorkDescription: ""Convert 783 SqFt first floor to new Accessory Dwelling Unit. Convert covered porch to laundry room.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2213 JEFFERSON"
"B2020-00688","1","dwelling","CPRA WorkDescription: ""Convert existing 300 SqFt bedroom to JADU on the lower level.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1712 MARIN"
"B2018-00693","1","dwelling","CPRA WorkDescription: ""Convert Artist studio to ADU. Add closets, kitchenette, sink/shower.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1805 FRANKLIN"
"B2021-01026","1","dwelling","CPRA WorkDescription: ""Convert ground floor to Junior Accessory Dwelling Unit. Remodel kitchen, master bedroom & bathroom. Add new awning""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1825 SONOMA"
"B2019-00961","1","dwelling","CPRA WorkDescription: ""Unfinnished work for Kitchen & Bath Remodel, Remove lath and plaster to fix rot and pest refer to permit #B2015-01080. Additional work, conv""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1904 SACRAMENTO"
